Name, Nation, Position, Club, League, Age, YearBorn,90s,GoalsAllowed,PKAllowed,FKAllowed,CornersAllowed,OwnGoalsAllowed,PostShotxG,PostShotxGPerShotOnTarget, PostShotxG-GoalsAllowed,PostShotxG-GoalsAllowed90,LaunchesCmp,LaunchesAtt,LaunchesCmp%,PassesAtt,ThrowsAtt,Launch%,AvgLenPass,GoalKicksAtt,GoalKicksLaunch%,AvgLenGoalKick,CrossesFaced,CrossesStopped,CrossesStopped%,DefActionsOutsidePenArea,DefActionsOutsidePenArea90,AvgDistDefAct,Matches
"Julen Agirrezabala","esESP","GK","Valencia","esLa Liga","24-336","2000","13.0","21","2","0","2","0","18.5","0.28","-2.5","-0.19","53","157","33.8","345","55","33.0","32.4","76","56.6","47.1","167","19","11.4","25","1.92","15.6",
"Alisson","brBRA","GK","Liverpool","engPremier League","33-056","1992","7.0","10","0","0","2","0","9.0","0.40","-1.0","-0.15","23","61","37.7","265","36","21.1","28.8","17","29.4","30.4","88","5","5.7","8","1.14","14.0",
"Alphonse Areola","frFRA","GK","West Ham","engPremier League","32-273","1993","8.0","14","2","0","3","0","14.2","0.29","+0.2","+0.03","47","161","29.2","198","41","50.5","39.3","76","80.3","55.1","153","9","5.9","1","0.13","6.6",
"Noah Atubolu","deGER","GK","Freiburg","deBundesliga","23-186","2002","11.0","20","0","0","4","0","18.1","0.38","-1.9","-0.18","90","234","38.5","425","36","44.2","37.5","58","79.3","58.5","128","6","4.7","18","1.64","17.4",
"Emil Audero","idIDN","GK","Cremonese","itSerie A","28-313","1997","8.0","9","1","0","0","0","9.4","0.21","+0.4","+0.04","39","158","24.7","328","43","39.0","35.1","45","66.7","48.1","122","15","12.3","7","0.88","11.9",
"Mio Backhaus","deGER","GK","Werder Bremen","deBundesliga","21-225","2004","9.0","16","2","0","1","1","15.8","0.31","+0.8","+0.09","15","51","29.4","291","57","13.7","26.6","34","32.4","38.2","150","18","12.0","13","1.44","12.5",
"Augusto Batalla","arARG","GK","Rayo Vallecano","esLa Liga","29-211","1996","13.0","14","2","0","1","0","16.0","0.29","+2.0","+0.15","74","212","34.9","429","47","42.2","39.2","53","58.5","49.1","161","15","9.3","24","1.85","16.2",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","35-178","1990","11.0","17","2","0","4","0","15.8","0.32","-1.2","-0.11","52","166","31.3","389","36","36.5","34.1","47","51.1","41.9","178","10","5.6","29","2.64","17.8",
"Altay Bayındır","trTUR","GK","Manchester Utd","engPremier League","27-227","1998","6.0","11","0","0","2","0","9.4","0.43","-1.6","-0.26","28","95","29.5","176","15","47.7","37.5","16","68.8","49.1","63","6","9.5","7","1.17","13.0",
"Lucas Bergström","fiFIN","GK","Mallorca","esLa Liga","23-083","2002","3.0","5","0","0","0","0","4.6","0.27","-0.4","-0.15","24","57","42.1","78","14","51.3","42.2","20","85.0","64.5","51","3","5.9","10","3.33","15.4",
"Marco Bizot","nlNED","GK","Aston Villa","engPremier League","34-262","1991","2.0","3","1","0","0","0","3.1","0.33","+0.1","+0.05","7","27","25.9","53","8","30.2","32.2","14","78.6","53.5","28","4","14.3","10","5.00","18.4",
"Arnaud Bodart","beBEL","GK","Lille","frLigue 1","27-261","1998","2.0","3","1","0","0","0","4.1","0.52","+1.1","+0.54","10","22","45.5","70","9","28.6","30.5","7","28.6","33.4","12","1","8.3","4","2.00","21.8",
"Jean Butez","frFRA","GK","Como","itSerie A","30-172","1995","12.0","7","1","0","1","0","10.2","0.24","+3.2","+0.27","63","132","47.7","440","52","25.9","29.8","34","52.9","42.1","115","12","10.4","28","2.33","17.1",
"Elia Caprile","itITA","GK","Cagliari","itSerie A","24-094","2001","12.0","17","0","2","3","0","18.5","0.32","+1.5","+0.12","56","168","33.3","317","55","42.3","36.7","81","42.0","37.0","177","25","14.1","17","1.42","13.7",
"Patrik Carlgren","seSWE","GK","Nantes","frLigue 1","33-323","1992","1.0","2","0","0","0","0","0.7","0.14","-1.3","-1.25","2","19","10.5","29","8","48.3","41.1","9","55.6","44.9","38","1","2.6","1","0.98","10.0",
"Marco Carnesecchi","itITA","GK","Atalanta","itSerie A","25-149","2000","12.0","14","1","0","2","1","12.6","0.23","-0.4","-0.03","62","152","40.8","380","56","28.7","31.8","63","68.3","51.4","142","6","4.2","16","1.33","15.3",
"Lucas Chevalier","frFRA","GK","Paris S-G","frLigue 1","24-021","2001","13.0","11","0","0","1","1","9.4","0.26","-0.6","-0.05","15","38","39.5","307","46","7.2","23.5","37","43.2","36.0","100","6","6.0","13","1.00","14.5",
"Edoardo Corvi","itITA","GK","Parma","itSerie A","24-249","2001","1.0","1","0","0","0","0","0.5","0.23","-0.5","-0.55","5","17","29.4","38","4","39.5","35.7","3","66.7","53.7","15","2","13.3","6","6.00","20.8",
"Grégoire Coudert","frFRA","GK","Brest","frLigue 1","26-238","1999","3.4","8","1","0","1","1","6.8","0.36","-0.2","-0.07","22","63","34.9","95","17","47.4","38.5","20","90.0","61.4","50","4","8.0","1","0.30","12.5",
"Thibaut Courtois","beBEL","GK","Real Madrid","esLa Liga","33-200","1992","13.0","12","2","1","1","0","9.1","0.21","-2.9","-0.23","36","121","29.8","353","63","25.8","31.7","65","46.2","41.7","142","8","5.6","17","1.31","15.7",
"Pablo Cuñat","esESP","GK","Levante","esLa Liga","23-213","2002","2.0","5","0","0","3","1","4.7","0.34","+0.7","+0.37","11","37","29.7","45","14","48.9","41.7","26","57.7","48.1","46","2","4.3","1","0.50","8.1",
"Finn Dahmen","deGER","GK","Augsburg","deBundesliga","27-245","1998","11.0","24","2","1","1","0","21.2","0.33","-2.8","-0.25","65","209","31.1","404","36","39.4","35.7","72","69.4","51.3","133","9","6.8","28","2.55","16.2",
"Karl Darlow","wlsWAL","GK","Leeds United","engPremier League","35-050","1990","5.0","8","0","1","0","1","5.2","0.26","-1.8","-0.37","30","100","30.0","181","28","43.6","37.7","26","80.8","56.9","82","5","6.1","4","0.80","11.4",
