Player, Nation, Position, Club, League, Age, YearBorn, 90s, Tkl, TklW, Def3rdTkl, Mid3rdTkl,Att3rdTkl,DribblersTkl,DribblersTklAtt,DribblersTkl%,DribblersTklLost,Blocks,ShotBlocks,PassBlocks,Interceptions, Interceptions+Tkl, Clearences, ErrorsLeadingToShot, Matches
"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","19","1999","2.3","12","6","7","5","0","5","10","50.0","5","5","0","5","8","20","9","0",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","27","1990","35.5","48","24","35","11","2","24","40","60.0","16","33","9","24","40","88","91","2",
"Ignazio Abate","itITA","DF","Milan","itSerie A","31","1986","14.5","34","19","16","13","5","14","22","63.6","8","19","6","13","18","52","50","0",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","30","1987","38.0","60","33","48","11","1","30","40","75.0","10","44","24","20","65","125","196","0",
"Mehdi Abeid","dzALG","MF","Dijon","frLigue 1","25","1992","22.5","51","33","27","16","8","15","45","33.3","30","33","7","26","29","80","23","1",
"Charles Abi","frFRA","DF,FW","Saint-Étienne","frLigue 1","18","2000","0.4","4","4","2","1","1","2","2","100.0","0","1","0","1","0","4","1","0",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","32","1986","15.8","22","14","13","8","1","11","25","44.0","14","23","12","11","24","46","64","0",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","28","1990","8.8","20","11","7","10","3","6","19","31.6","13","11","3","8","14","34","15","0",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","30","1988","36.8","40","30","22","13","5","12","16","75.0","4","50","32","18","61","101","169","1",
"Afriyie Acquah","ghGHA","MF","Empoli","itSerie A","26","1992","16.8","27","9","9","12","6","4","11","36.4","7","11","1","10","12","39","16","0",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","19","1999","8.0","29","17","12","16","1","11","26","42.3","15","17","1","16","16","45","8","0",
"Antonio Adán","esESP","GK","Atlético Madrid","esLa Liga","31","1987","1.0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0",
"Aday","esESP","DF,MF","Girona","esLa Liga","30","1987","7.2","9","8","2","5","2","6","7","85.7","1","1","0","1","7","16","17","1",
"Khaled Adénon","bjBEN","DF","Amiens","frLigue 1","33","1985","22.2","31","22","20","11","0","16","28","57.1","12","26","11","15","31","62","101","0",
"Claud Adjapong","itITA","MF,FW","Sassuolo","itSerie A","20","1998","3.0","4","2","1","3","0","1","2","50.0","1","3","1","2","1","5","4","0",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","18","2000","2.4","7","2","2","3","2","3","9","33.3","6","3","0","3","2","9","0","0",
"Ali Adnan Kadhim","iqIRQ","DF","Atalanta","itSerie A","24","1993","1.8","1","1","1","0","0","1","2","50.0","1","1","1","0","3","4","6","0",
"Aritz Aduriz","esESP","FW","Athletic Club","esLa Liga","37","1981","10.5","4","2","1","1","2","1","7","14.3","6","2","1","1","0","4","4","0",
"Luis Advíncula","pePER","DF","Rayo Vallecano","esLa Liga","28","1990","26.5","52","38","38","12","2","21","31","67.7","10","22","2","20","19","71","60","1",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","22","1996","22.6","45","29","32","10","3","28","46","60.9","18","33","11","22","27","72","65","1",
