Name, Nation, Position, Club, League, Age, YearBorn,90s,CrdY, CrdR,2CrdY,FoulsCommitted, FoulsDrawn, Offsides,Crosses,Ints,TklW,PKWon,PKCon,OG,BallRecoveries,AerialsWon,AerialsLost,AerialsWon%,Matches
"Moïse Bombito","caCAN","DF","Nice","frLigue 1","25-242","2000","1.6","1","0","0","3","1","0","0","2","2","0","2","0","4","6","3","66.7",
"Saba Goglichidze","geGEO","DF","Udinese","itSerie A","21-155","2004","4.7","2","0","0","5","4","0","2","8","8","0","2","0","13","5","5","50.0",
"Konstantinos Koulierakis","grGRE","DF","Wolfsburg","deBundesliga","21-364","2003","9.5","1","0","0","9","6","0","6","19","8","0","2","0","29","19","17","52.8",
"Pierre Lees-Melou","frFRA","MF","Paris FC","frLigue 1","32-186","1993","9.8","2","0","0","17","11","0","6","9","18","0","2","0","58","5","7","41.7",
"Kristoffer Lund","usUSA","DF","Köln","deBundesliga","23-197","2002","8.0","1","0","0","5","9","1","14","8","7","0","2","0","26","13","21","38.2",
"Bamo Meïté","ciCIV","DF","Lorient","frLigue 1","23-359","2001","6.5","2","0","0","9","8","0","5","3","3","0","2","0","20","20","16","55.6",
"Leopold Querfeld","atAUT","DF","Union Berlin","deBundesliga","21-342","2003","11.0","4","0","0","13","11","0","0","12","10","0","2","0","27","32","15","68.1",
"Antonio Raillo","esESP","DF","Mallorca","esLa Liga","34-050","1991","13.0","2","0","0","12","8","0","3","13","6","0","2","0","43","43","20","68.3",
"Ibrahim Sangaré","ciCIV","MF","Nott'ham Forest","engPremier League","27-360","1997","6.6","2","0","0","12","3","0","4","7","7","0","2","0","23","5","8","38.5",
"Djibril Sidibé","frFRA","DF,MF","Toulouse","frLigue 1","33-121","1992","8.3","1","0","0","12","6","3","26","6","10","0","2","0","32","6","4","60.0",
"Eric Smith","seSWE","DF","St. Pauli","deBundesliga","28-323","1997","11.0","2","0","0","6","12","1","13","10","6","0","2","0","62","12","13","48.0",
"Saud Abdulhamid","saKSA","DF","Lens","frLigue 1","26-132","1999","2.3","0","0","0","3","2","0","8","1","4","0","1","0","8","2","1","66.7",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","32-299","1993","11.5","4","0","0","14","10","0","2","8","12","0","1","0","54","8","5","61.5",
"David Affengruber","atAUT","DF","Elche","esLa Liga","24-253","2001","11.4","4","1","0","15","14","1","2","21","18","0","1","0","67","22","13","62.9",
"Pablo Agudín","esESP","MF,FW","Oviedo","esLa Liga","18-019","2007","0.6","0","0","0","1","1","0","0","0","0","0","1","0","4","0","0","",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","30-059","1995","1.2","0","0","0","1","0","0","0","2","0","0","1","0","4","4","3","57.1",
"Marcos Alonso","esESP","DF","Celta Vigo","esLa Liga","34-334","1990","8.9","2","0","0","7","11","0","7","13","10","0","1","0","45","18","13","58.1",
"Kelvin Amian","frFRA","DF","Nantes","frLigue 1","27-292","1998","13.0","2","0","0","12","9","1","15","4","10","0","1","0","42","19","5","79.2",
"Elliot Anderson","engENG","MF","Nott'ham Forest","engPremier League","23-021","2002","12.0","2","0","0","15","25","1","55","12","19","0","1","0","98","14","15","48.3",
"Jaidon Anthony","engENG","MF,FW","Burnley","engPremier League","25-361","1999","10.6","3","0","0","10","15","3","21","8","7","0","1","0","49","6","12","33.3",
"Ronald Araújo","uyURU","DF","Barcelona","esLa Liga","26-265","1999","7.2","2","0","0","14","1","0","2","8","5","0","1","0","29","23","16","59.0",
"Carlens Arcus","htHAI","DF","Angers","frLigue 1","29-152","1996","11.7","3","0","0","19","8","0","6","14","18","0","1","0","54","11","11","50.0",
"Arthur","brBRA","DF","Leverkusen","deBundesliga","22-255","2003","4.5","0","0","0","4","3","1","11","2","6","0","1","0","21","6","2","75.0",
"Otavio Ataide","brBRA","DF","Paris FC","frLigue 1","23-220","2002","9.4","3","1","0","13","17","1","1","16","7","0","1","0","34","11","12","47.8",
"Arthur Avom","cmCMR","MF","Lorient","frLigue 1","20-347","2004","11.1","3","0","0","12","23","0","26","20","18","1","1","0","55","4","9","30.8",
"Alejandro Balde","esESP","DF","Barcelona","esLa Liga","22-040","2003","7.0","2","0","0","4","11","2","11","2","9","1","1","0","25","7","6","53.8",
"Carlos Baleba","cmCMR","MF","Brighton","engPremier League","21-328","2004","7.7","4","0","0","17","8","0","0","12","8","0","1","0","42","13","8","61.9",
"Fodé Ballo-Touré","snSEN","DF","Metz","frLigue 1","28-328","1997","2.7","1","0","0","3","8","0","3","2","3","0","1","0","9","3","0","100.0",
"Valentín Barco","arARG","MF,DF","Strasbourg","frLigue 1","21-127","2004","11.8","2","1","0","10","37","0","37","7","18","0","1","0","69","6","7","46.2",
"Calvin Bassey","ngNGA","DF","Fulham","engPremier League","25-331","1999","11.1","3","0","0","11","13","0","5","7","9","0","1","0","49","10","12","45.5",
"Sander Berge","noNOR","MF","Fulham","engPremier League","27-286","1998","11.6","2","0","0","13","2","0","5","6","13","0","1","0","48","14","12","53.8",
"Federico Bernardeschi","itITA","FW,MF","Bologna","itSerie A","31-284","1994","4.2","2","0","0","6","6","0","18","2","2","0","1","0","19","3","4","42.9",
"Bernardo","brBRA","DF","Hoffenheim","deBundesliga","30-197","1995","10.9","4","0","0","25","5","1","7","16","18","0","1","0","45","38","25","60.3",
"Sam Beukema","nlNED","DF","Napoli","itSerie A","27-010","1998","5.0","0","0","0","5","2","0","0","6","5","0","1","0","16","8","9","47.1",
"Tom Bischof","deGER","DF,MF","Bayern Munich","deBundesliga","20-152","2005","4.5","1","0","0","5","3","0","10","5","7","0","1","0","24","2","1","66.7",
"Marco Bizot","nlNED","GK","Aston Villa","engPremier League","34-262","1991","2.0","1","0","0","1","0","0","0","0","0","0","1","0","4","0","0","",
"Daley Blind","nlNED","DF","Girona","esLa Liga","35-263","1990","10.6","1","0","0","7","4","0","5","14","14","0","1","0","38","16","16","50.0",
