Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","19","1999","3","3","204","2.3","0","0","0","0","0","0","3","0","0.0","0.0","0.4","0.4","3","8","8","0.00","0.00","0.00","0.00","0.00","0.00","0.17","0.17","0.00","0.17",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","27","1990","36","36","3,195","35.5","3","2","5","3","0","0","3","0","2.6","2.6","4.4","7.0","89","212","106","0.08","0.06","0.14","0.08","0.14","0.07","0.12","0.20","0.07","0.20",
"Ignazio Abate","itITA","DF","Milan","itSerie A","31","1986","19","15","1,302","14.5","0","0","0","0","0","0","4","0","0.1","0.1","0.4","0.4","27","88","43","0.00","0.00","0.00","0.00","0.00","0.01","0.02","0.03","0.01","0.03",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","30","1987","38","38","3,420","38.0","0","0","0","0","0","0","2","0","1.6","1.6","0.1","1.8","16","71","1","0.00","0.00","0.00","0.00","0.00","0.04","0.00","0.05","0.04","0.05",
"Mehdi Abeid","dzALG","MF","Dijon","frLigue 1","25","1992","26","23","2,023","22.5","3","0","3","2","1","1","6","0","2.9","2.1","1.6","3.8","43","97","50","0.13","0.00","0.13","0.09","0.09","0.13","0.07","0.20","0.10","0.17",
"Charles Abi","frFRA","DF,FW","Saint-Étienne","frLigue 1","18","2000","3","0","32","0.4","0","0","0","0","0","0","0","0","0.1","0.1","0.0","0.1","2","1","0","0.00","0.00","0.00","0.00","0.00","0.17","0.12","0.29","0.17","0.29",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","32","1986","17","17","1,420","15.8","0","0","0","0","0","0","2","0","0.8","0.8","0.4","1.1","20","80","7","0.00","0.00","0.00","0.00","0.00","0.05","0.03","0.07","0.05","0.07",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","28","1990","10","9","790","8.8","0","0","0","0","0","0","5","0","0.2","0.2","0.1","0.3","6","19","9","0.00","0.00","0.00","0.00","0.00","0.03","0.01","0.04","0.03","0.04",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","30","1988","37","37","3,309","36.8","3","1","4","3","0","0","4","1","3.4","3.4","1.0","4.3","39","135","17","0.08","0.03","0.11","0.08","0.11","0.09","0.03","0.12","0.09","0.12",
"Afriyie Acquah","ghGHA","MF","Empoli","itSerie A","26","1992","28","19","1,510","16.8","2","0","2","2","0","0","4","0","1.4","1.4","0.8","2.2","58","91","76","0.12","0.00","0.12","0.12","0.12","0.09","0.05","0.13","0.09","0.13",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","19","1999","10","8","721","8.0","0","2","2","0","0","0","0","0","0.1","0.1","1.0","1.1","19","64","12","0.00","0.25","0.25","0.00","0.25","0.01","0.13","0.13","0.01","0.13",
"Antonio Adán","esESP","GK","Atlético Madrid","esLa Liga","31","1987","1","1","90","1.0","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Aday","esESP","DF,MF","Girona","esLa Liga","30","1987","10","8","645","7.2","0","2","2","0","0","0","2","0","0.3","0.3","1.5","1.8","35","11","40","0.00","0.28","0.28","0.00","0.28","0.04","0.21","0.25","0.04","0.25",
"Khaled Adénon","bjBEN","DF","Amiens","frLigue 1","33","1985","23","22","1,994","22.2","0","0","0","0","0","0","7","1","0.7","0.7","0.1","0.9","13","63","1","0.00","0.00","0.00","0.00","0.00","0.03","0.01","0.04","0.03","0.04",
"Claud Adjapong","itITA","MF,FW","Sassuolo","itSerie A","20","1998","5","3","270","3.0","1","0","1","1","0","0","1","0","0.7","0.7","0.1","0.8","6","4","19","0.33","0.00","0.33","0.33","0.33","0.24","0.02","0.26","0.24","0.26",
"Yacine Adli","frFRA","MF","Bordeaux","frLigue 1","18","2000","7","2","216","2.4","0","0","0","0","0","0","1","0","0.0","0.0","0.8","0.8","13","17","17","0.00","0.00","0.00","0.00","0.00","0.01","0.34","0.34","0.01","0.34",
"Ali Adnan Kadhim","iqIRQ","DF","Atalanta","itSerie A","24","1993","3","2","166","1.8","0","0","0","0","0","0","0","0","0.2","0.2","0.1","0.4","7","8","11","0.00","0.00","0.00","0.00","0.00","0.13","0.06","0.20","0.13","0.20",
"Aritz Aduriz","esESP","FW","Athletic Club","esLa Liga","37","1981","20","10","943","10.5","2","0","2","0","2","2","5","0","3.3","1.8","0.7","2.5","8","15","57","0.19","0.00","0.19","0.00","0.00","0.32","0.07","0.38","0.17","0.23",
"Luis Advíncula","pePER","DF","Rayo Vallecano","esLa Liga","28","1990","28","27","2,389","26.5","1","3","4","1","0","0","6","2","1.1","1.1","2.4","3.5","51","90","136","0.04","0.11","0.15","0.04","0.15","0.04","0.09","0.13","0.04","0.13",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","22","1996","27","23","2,032","22.6","0","0","0","0","0","0","4","0","0.0","0.0","0.5","0.5","36","89","56","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.02","0.00","0.02",
"Nayef Aguerd","maMAR","DF","Dijon","frLigue 1","22","1996","13","12","1,050","11.7","3","0","3","3","0","0","4","1","1.5","1.5","0.1","1.6","11","32","3","0.26","0.00","0.26","0.26","0.26","0.13","0.01","0.14","0.13","0.14",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","30","1988","33","31","2,459","27.3","21","8","29","19","2","2","4","0","18.1","16.5","5.0","21.5","81","76","253","0.77","0.29","1.06","0.70","0.99","0.66","0.18","0.85","0.60","0.79",
"Ruben Aguilar","frFRA","DF","Montpellier","frLigue 1","25","1993","29","29","2,528","28.1","1","4","5","1","0","0","8","0","0.9","0.9","2.5","3.4","85","128","155","0.04","0.14","0.18","0.04","0.18","0.03","0.09","0.12","0.03","0.12",
"Juan Aguilera","esESP","MF","Huesca","esLa Liga","32","1985","6","4","344","3.8","0","0","0","0","0","0","1","0","0.5","0.5","0.0","0.5","8","21","2","0.00","0.00","0.00","0.00","0.00","0.14","0.00","0.14","0.14","0.14",
"Emmanuel Agyemang-Badu","ghGHA","MF","Udinese","itSerie A","27","1990","4","2","161","1.8","0","0","0","0","0","0","0","0","0.1","0.1","0.0","0.1","2","1","5","0.00","0.00","0.00","0.00","0.00","0.05","0.01","0.06","0.05","0.06",
"Jean-Eudes Aholou","ciCIV","MF","Monaco","frLigue 1","24","1994","17","12","1,075","11.9","0","1","1","0","0","0","2","0","0.8","0.8","0.6","1.5","36","64","27","0.00","0.08","0.08","0.00","0.08","0.07","0.05","0.12","0.07","0.12",
"Antonis Aidonis","deGER","DF","Stuttgart","deBundesliga","17","2001","2","1","80","0.9","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","2","3","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Ola Aina","ngNGA","DF","Torino","itSerie A","21","1996","30","22","2,160","24.0","1","3","4","1","0","0","5","1","1.4","1.4","2.5","4.0","62","97","96","0.04","0.12","0.17","0.04","0.17","0.06","0.11","0.17","0.06","0.17",
"Youssef Aït Bennasser","maMAR","MF","Saint-Étienne","frLigue 1","22","1996","13","11","936","10.4","0","0","0","0","0","0","0","0","0.3","0.3","0.4","0.7","6","67","12","0.00","0.00","0.00","0.00","0.00","0.02","0.04","0.07","0.02","0.07",
"Youssef Aït Bennasser","maMAR","MF","Monaco","frLigue 1","22","1996","13","12","1,073","11.9","0","2","2","0","0","0","2","0","0.3","0.3","0.8","1.1","21","86","13","0.00","0.17","0.17","0.00","0.17","0.02","0.07","0.09","0.02","0.09",
"Rayan Aït-Nouri","dzALG","DF,MF","Angers","frLigue 1","17","2001","3","0","57","0.6","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","3","3","2","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","24","1994","25","18","1,531","17.0","9","1","10","9","0","0","5","0","5.7","5.7","1.0","6.7","11","25","126","0.53","0.06","0.59","0.53","0.59","0.34","0.06","0.40","0.34","0.40",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","23","1995","25","25","2,205","24.5","1","0","1","1","0","0","1","0","0.5","0.5","0.6","1.1","24","122","11","0.04","0.00","0.04","0.04","0.04","0.02","0.02","0.04","0.02","0.04",
"Carlos Akapo","gqEQG","DF","Huesca","esLa Liga","25","1993","13","12","1,023","11.4","0","0","0","0","0","0","2","0","0.2","0.2","0.2","0.4","33","34","28","0.00","0.00","0.00","0.00","0.00","0.02","0.02","0.04","0.02","0.04",
"Nathan Aké","nlNED","DF","Bournemouth","engPremier League","23","1995","38","38","3,411","37.9","4","0","4","4","0","0","3","0","3.4","3.4","1.0","4.4","20","98","25","0.11","0.00","0.11","0.11","0.11","0.09","0.03","0.11","0.09","0.11",
"Sergio Akieme","esESP","DF","Rayo Vallecano","esLa Liga","20","1997","2","2","180","2.0","0","1","1","0","0","0","0","0","0.0","0.0","0.1","0.1","5","7","9","0.00","0.50","0.50","0.00","0.50","0.00","0.03","0.03","0.00","0.03",
"Chadrac Akolo","cdCOD","MF,FW","Stuttgart","deBundesliga","23","1995","16","5","525","5.8","0","1","1","0","0","0","0","0","0.9","0.9","0.5","1.4","14","14","40","0.00","0.17","0.17","0.00","0.17","0.16","0.08","0.24","0.16","0.24",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","23","1995","8","5","499","5.5","0","0","0","0","0","0","2","0","0.0","0.0","0.0","0.0","4","33","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Kevin Akpoguma","ngNGA","DF","Hannover 96","deBundesliga","23","1995","4","4","313","3.5","0","0","0","0","0","0","2","0","0.0","0.0","0.0","0.0","2","20","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"David Alaba","atAUT","DF","Bayern Munich","deBundesliga","26","1992","31","29","2,530","28.1","3","3","6","3","0","0","4","0","3.2","3.2","4.4","7.6","87","190","240","0.11","0.11","0.21","0.11","0.21","0.11","0.16","0.27","0.11","0.27",
"Sofiane Alakouch","maMAR","DF","Nîmes","frLigue 1","20","1998","25","23","1,895","21.1","1","0","1","1","0","0","4","0","0.5","0.5","1.5","2.0","43","79","64","0.05","0.00","0.05","0.05","0.05","0.02","0.07","0.10","0.02","0.10",
"Lucas Alario","arARG","FW,MF","Leverkusen","deBundesliga","25","1992","27","11","1,265","14.1","9","3","12","9","0","0","1","0","6.7","6.7","1.4","8.1","12","22","86","0.64","0.21","0.85","0.64","0.85","0.47","0.10","0.57","0.47","0.57",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","29","1989","36","32","2,991","33.2","2","8","10","2","0","0","6","0","1.8","1.8","6.7","8.5","63","207","372","0.06","0.24","0.30","0.06","0.30","0.05","0.20","0.25","0.05","0.25",
"Luis Alberto","esESP","MF,FW","Lazio","itSerie A","25","1992","27","25","1,990","22.1","4","5","9","3","1","1","5","1","4.2","3.4","5.9","9.4","100","200","132","0.18","0.23","0.41","0.14","0.36","0.19","0.27","0.46","0.16","0.42",
"Raúl Albiol","esESP","DF","Napoli","itSerie A","32","1985","20","19","1,713","19.0","1","0","1","1","0","0","4","0","0.3","0.3","0.4","0.7","4","81","2","0.05","0.00","0.05","0.05","0.05","0.01","0.02","0.04","0.01","0.04",
"Miiko Albornoz","clCHI","DF,MF","Hannover 96","deBundesliga","27","1990","22","19","1,660","18.4","1","3","4","1","0","0","3","1","0.3","0.3","1.5","1.8","34","71","75","0.05","0.16","0.22","0.05","0.22","0.02","0.08","0.10","0.02","0.10",
"Marc Albrighton","engENG","FW,MF","Leicester City","engPremier League","28","1989","27","18","1,625","18.1","2","2","4","2","0","0","3","0","1.2","1.2","2.9","4.1","54","64","172","0.11","0.11","0.22","0.11","0.22","0.07","0.16","0.23","0.07","0.23",
"Paco Alcácer","esESP","FW","Dortmund","deBundesliga","24","1993","26","11","1,211","13.5","18","0","18","17","1","1","0","0","9.5","8.8","1.6","10.4","12","17","70","1.34","0.00","1.34","1.26","1.26","0.71","0.12","0.83","0.65","0.77",
"Pedro Alcalá","esESP","DF","Girona","esLa Liga","29","1989","25","20","1,868","20.8","1","1","2","1","0","0","9","0","1.0","1.0","0.6","1.6","13","47","3","0.05","0.05","0.10","0.05","0.10","0.05","0.03","0.08","0.05","0.08",
"Thiago Alcántara","esESP","MF","Bayern Munich","deBundesliga","27","1991","30","26","2,408","26.8","2","6","8","2","0","0","5","0","1.9","1.9","3.5","5.4","49","310","56","0.07","0.22","0.30","0.07","0.30","0.07","0.13","0.20","0.07","0.20",
"Rubén Alcaraz","esESP","MF","Valladolid","esLa Liga","27","1991","34","34","2,976","33.1","3","2","5","3","0","1","13","0","3.5","2.7","0.9","3.6","45","181","21","0.09","0.06","0.15","0.09","0.15","0.10","0.03","0.13","0.08","0.11",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","29","1989","34","33","2,922","32.5","0","0","0","0","0","0","3","0","1.1","1.1","0.6","1.8","25","161","5","0.00","0.00","0.00","0.00","0.00","0.03","0.02","0.05","0.03","0.05",
"Álex Alegría","esESP","FW,MF","Rayo Vallecano","esLa Liga","25","1992","9","0","140","1.6","0","0","0","0","0","0","0","0","0.2","0.2","0.4","0.6","4","5","7","0.00","0.00","0.00","0.00","0.00","0.16","0.24","0.40","0.16","0.40",
"Alexis Alegue","frFRA","FW","Nantes","frLigue 1","21","1996","1","0","5","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Iván Alejo","esESP","MF","Getafe","esLa Liga","23","1995","4","2","146","1.6","0","0","0","0","0","0","2","1","0.0","0.0","0.6","0.6","7","3","10","0.00","0.00","0.00","0.00","0.00","0.02","0.35","0.36","0.02","0.36",
"Carles Aleñá","esESP","MF","Barcelona","esLa Liga","20","1998","17","6","637","7.1","2","0","2","2","0","0","2","0","1.3","1.3","0.7","2.0","18","65","38","0.28","0.00","0.28","0.28","0.28","0.18","0.10","0.28","0.18","0.28",
"Rúnar Alex Rúnarsson","isISL","GK","Dijon","frLigue 1","23","1995","25","25","2,250","25.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Alexander","arARG","FW","Leganés","esLa Liga","29","1988","1","0","10","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","3","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","19","1998","29","27","2,462","27.4","1","12","13","1","0","0","3","0","1.6","1.6","6.3","7.9","70","157","174","0.04","0.44","0.48","0.04","0.48","0.06","0.23","0.29","0.06","0.29",
"Alfonso","mzMOZ","MF","Hoffenheim","deBundesliga","18","1999","1","0","9","0.1","0","0","0","0","0","0","0","0","0.1","0.1","0.0","0.1","0","0","0","0.00","0.00","0.00","0.00","0.00","0.59","0.00","0.59","0.59","0.59",
"Rachid Alioui","maMAR","FW","Nîmes","frLigue 1","26","1992","27","11","1,252","13.9","5","0","5","5","0","0","1","0","5.4","5.4","1.2","6.6","24","22","79","0.36","0.00","0.36","0.36","0.36","0.39","0.08","0.48","0.39","0.48",
"Alisson","brBRA","GK","Liverpool","engPremier League","25","1992","38","38","3,420","38.0","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","1","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
