Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
"Max Aarons","engENG","DF","Bournemouth","engPremier League","24","2000","3","1","86","1.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1","8","3","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Max Aarons","engENG","DF,MF","Valencia","esLa Liga","24","2000","4","1","120","1.3","0","0","0","0","0","0","2","0","0.0","0.0","0.0","0.0","0","6","10","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.02","0.00","0.02",
"Rodrigo Abajas","esESP","DF","Valencia","esLa Liga","21","2003","1","1","65","0.7","0","0","0","0","0","0","1","0","0.1","0.1","0.0","0.1","3","2","3","0.00","0.00","0.00","0.00","0.00","0.10","0.00","0.10","0.10","0.10",
"James Abankwah","ieIRL","DF,MF","Udinese","itSerie A","20","2004","6","0","88","1.0","0","0","0","0","0","0","1","0","0.1","0.1","0.0","0.1","3","4","1","0.00","0.00","0.00","0.00","0.00","0.06","0.00","0.06","0.06","0.06",
"Keyliane Abdallah","frFRA","FW","Marseille","frLigue 1","18","2006","1","0","3","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Yunis Abdelhamid","maMAR","DF","Saint-Étienne","frLigue 1","36","1987","16","11","1,033","11.5","0","0","0","0","0","0","2","0","0.2","0.2","0.1","0.4","4","22","3","0.00","0.00","0.00","0.00","0.00","0.02","0.01","0.03","0.02","0.03",
"Himad Abdelli","dzALG","MF,FW","Angers","frLigue 1","24","1999","32","32","2,842","31.6","6","1","7","3","3","4","4","0","6.4","3.2","3.2","6.4","107","207","111","0.19","0.03","0.22","0.10","0.13","0.20","0.10","0.30","0.10","0.20",
"Mohamed Abdelmoneim","egEGY","DF","Nice","frLigue 1","25","1999","12","10","855","9.5","0","0","0","0","0","0","2","0","0.0","0.0","0.0","0.0","6","52","5","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Ali Abdi","tnTUN","DF,MF","Nice","frLigue 1","30","1993","25","17","1,393","15.5","5","2","7","5","0","0","2","0","4.3","4.3","1.9","6.2","35","42","101","0.32","0.13","0.45","0.32","0.45","0.28","0.12","0.40","0.28","0.40",
"Saud Abdulhamid","saKSA","DF","Roma","itSerie A","25","1999","4","2","205","2.3","0","1","1","0","0","0","0","0","0.0","0.0","0.2","0.2","6","9","26","0.00","0.44","0.44","0.00","0.44","0.01","0.08","0.09","0.01","0.09",
"Nabil Aberdin","frFRA","MF","Getafe","esLa Liga","21","2002","7","4","263","2.9","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.1","2","6","2","0.00","0.00","0.00","0.00","0.00","0.01","0.01","0.02","0.01","0.02",
"Oliver Abildgaard","dkDEN","MF","Como","itSerie A","28","1996","1","0","7","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Matthis Abline","frFRA","FW","Nantes","frLigue 1","21","2003","34","33","2,768","30.8","9","2","11","8","1","1","3","0","8.5","7.7","3.8","11.5","75","48","169","0.29","0.07","0.36","0.26","0.33","0.28","0.12","0.40","0.25","0.37",
"Abner","brBRA","DF","Lyon","frLigue 1","24","2000","19","12","1,090","12.1","1","1","2","1","0","0","1","0","0.6","0.6","1.1","1.7","31","66","55","0.08","0.08","0.17","0.08","0.17","0.05","0.09","0.14","0.05","0.14",
"Zakaria Aboukhlal","maMAR","MF,FW","Toulouse","frLigue 1","24","2000","26","22","1,901","21.1","7","2","9","6","1","2","4","0","10.2","8.6","1.6","10.2","34","22","164","0.33","0.09","0.43","0.28","0.38","0.48","0.07","0.56","0.41","0.48",
"Abdel Abqar","maMAR","DF","Alavés","esLa Liga","25","1999","29","29","2,463","27.4","0","1","1","0","0","0","13","0","0.9","0.9","0.3","1.2","16","79","4","0.00","0.04","0.04","0.00","0.04","0.03","0.01","0.04","0.03","0.04",
"Tammy Abraham","engENG","FW","Roma","itSerie A","26","1997","1","0","1","0.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","1","2","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Tammy Abraham","engENG","FW","Milan","itSerie A","26","1997","28","12","1,183","13.1","3","4","7","2","1","2","1","0","7.1","5.4","2.2","7.6","8","26","69","0.23","0.30","0.53","0.15","0.46","0.54","0.16","0.70","0.41","0.58",
"Federico Accornero","itITA","MF","Genoa","itSerie A","20","2004","1","0","5","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","36","1988","23","20","1,710","19.0","0","1","1","0","0","0","0","0","0.4","0.4","0.6","1.0","19","62","22","0.00","0.05","0.05","0.00","0.05","0.02","0.03","0.05","0.02","0.05",
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","18","2006","4","2","170","1.9","0","0","0","0","0","0","1","0","0.2","0.2","0.0","0.2","0","8","0","0.00","0.00","0.00","0.00","0.00","0.12","0.00","0.12","0.12","0.12",
"Akor Adams","ngNGA","FW","Sevilla","esLa Liga","24","2000","4","1","134","1.5","0","0","0","0","0","0","0","0","0.4","0.4","0.0","0.4","0","5","5","0.00","0.00","0.00","0.00","0.00","0.29","0.00","0.29","0.29","0.29",
"Akor Adams","ngNGA","FW","Montpellier","frLigue 1","24","2000","15","13","1,075","11.9","3","1","4","3","0","0","2","0","4.3","4.3","1.0","5.3","11","6","45","0.25","0.08","0.33","0.25","0.33","0.36","0.08","0.44","0.36","0.44",
"Che Adams","sctSCO","FW","Torino","itSerie A","28","1996","36","30","2,652","29.5","9","3","12","9","0","1","2","0","9.0","8.2","2.0","10.2","23","40","153","0.31","0.10","0.41","0.31","0.41","0.31","0.07","0.37","0.28","0.35",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","25","1999","28","21","1,965","21.8","0","3","3","0","0","0","7","0","1.6","1.6","1.0","2.6","14","76","10","0.00","0.14","0.14","0.00","0.14","0.07","0.05","0.12","0.07","0.12",
"Junior Adamu","atAUT","FW","Freiburg","deBundesliga","23","2001","25","19","1,545","17.2","2","2","4","2","0","0","5","1","5.5","5.5","2.4","7.9","8","14","84","0.12","0.12","0.23","0.12","0.23","0.32","0.14","0.46","0.32","0.46",
"Tosin Adarabioyo","engENG","DF","Chelsea","engPremier League","26","1997","22","15","1,409","15.7","1","1","2","1","0","0","4","0","0.9","0.9","0.2","1.2","5","42","1","0.06","0.06","0.13","0.06","0.13","0.06","0.01","0.07","0.06","0.07",
"Martin Adeline","frFRA","MF","Reims","frLigue 1","20","2003","1","0","26","0.3","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","1","0","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Karim Adeyemi","deGER","FW,MF","Dortmund","deBundesliga","22","2002","25","17","1,433","15.9","7","6","13","7","0","0","4","0","5.5","5.5","6.0","11.5","68","28","153","0.44","0.38","0.82","0.44","0.82","0.34","0.38","0.72","0.34","0.72",
"Simon Adingra","ciCIV","FW,MF","Brighton","engPremier League","22","2002","29","12","1,097","12.2","2","2","4","2","0","0","0","0","2.5","2.5","2.5","4.9","50","18","136","0.16","0.16","0.33","0.16","0.33","0.20","0.20","0.40","0.20","0.40",
"Amine Adli","maMAR","MF,FW","Leverkusen","deBundesliga","24","2000","20","6","766","8.5","2","0","2","2","0","0","3","0","2.7","2.7","0.7","3.4","37","24","100","0.23","0.00","0.23","0.23","0.23","0.32","0.08","0.40","0.32","0.40",
"Yacine Adli","frFRA","MF","Fiorentina","itSerie A","24","2000","26","15","1,234","13.7","4","6","10","4","0","0","3","1","1.0","1.0","2.4","3.4","24","103","30","0.29","0.44","0.73","0.29","0.73","0.08","0.17","0.25","0.08","0.25",
"Adrián","esESP","GK","Betis","esLa Liga","37","1987","19","19","1,710","19.0","0","0","0","0","0","0","3","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Adryelson","brBRA","DF","Lyon","frLigue 1","26","1998","1","0","1","0.0","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.0","0","1","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",
"Vasilije Adžić","meMNE","MF,FW","Juventus","itSerie A","18","2006","6","0","42","0.5","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","1","3","0.00","0.00","0.00","0.00","0.00","0.05","0.00","0.05","0.05","0.05",
