Plyaer, Nation, Position, Team, League, Age, Born, 90s, TotCmp, TotAtt, TotCmp%, TotDist, PrgDist,ShortCmp, ShortAtt, ShortCmp%,MedCmp, MedAtt, MedCmp%,LongCmp, LongAtt, LongCmp%,Ast, xAG, xA, A-xG, KeyPasses, PassIntoFinal3rd, PassintoPenaltyArea, CrossesintoPenaltyArea, ProgressivePasses,Matches
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","26","1990","24.3","884","1176","75.2","14197","6422","479","532","90.0","311","431","72.2","74","152","48.7","1","2.1","1.8","-1.1","18","63","28","6","92",
"Rolando Aarons","engENG","MF,FW","Newcastle Utd","engPremier League","21","1995","1.5","29","44","65.9","376","77","24","30","80.0","2","5","40.0","2","3","66.7","0","0.0","0.0","0.0","0","2","1","1","3",
"Rolando Aarons","engENG","MF,FW","Hellas Verona","itSerie A","21","1995","5.7","87","120","72.5","1174","325","50","60","83.3","25","35","71.4","4","8","50.0","0","0.2","0.1","-0.2","3","8","7","1","17",
"Ignazio Abate","itITA","DF","Milan","itSerie A","30","1986","11.7","625","776","80.5","10991","4535","273","294","92.9","287","333","86.2","58","120","48.3","0","0.5","0.8","-0.5","10","55","20","7","81",
"Aymen Abdennour","tnTUN","DF","Marseille","frLigue 1","27","1989","5.5","310","333","93.1","5550","1557","126","128","98.4","148","155","95.5","24","34","70.6","0","0.0","0.0","0.0","0","8","0","0","12",
"Aly Abeid","mrMTN","DF","Levante","esLa Liga","19","1997","0.9","29","38","76.3","474","167","17","19","89.5","10","12","83.3","2","5","40.0","0","0.1","0.1","-0.1","1","0","1","1","1",
"Mehdi Abeid","dzALG","MF","Dijon","frLigue 1","24","1992","13.1","513","605","84.8","8787","2345","231","264","87.5","219","245","89.4","44","62","71.0","1","0.3","0.3","+0.7","7","33","1","0","49",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","31","1986","25.6","1088","1321","82.4","22896","8476","348","391","89.0","547","611","89.5","178","293","60.8","2","0.7","0.7","+1.3","7","77","3","2","103",
"Tammy Abraham","engENG","FW","Swansea City","engPremier League","19","1997","19.2","206","314","65.6","2754","557","123","173","71.1","56","89","62.9","10","22","45.5","1","1.6","0.8","-0.6","12","16","6","2","20",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","27","1990","9.4","248","321","77.3","4354","1126","103","132","78.0","116","146","79.5","24","32","75.0","0","0.4","0.6","-0.4","3","22","6","1","38",
"Francesco Acerbi","itITA","DF","Sassuolo","itSerie A","29","1988","38.0","1391","1650","84.3","30718","10405","349","387","90.2","782","876","89.3","249","360","69.2","0","0.7","0.8","-0.7","10","106","2","1","141",
"Afriyie Acquah","ghGHA","MF","Torino","itSerie A","25","1992","10.6","405","478","84.7","6431","1627","204","220","92.7","166","189","87.8","23","40","57.5","0","0.6","0.2","-0.6","6","38","2","0","60",
"Charlie Adam","sctSCO","MF","Stoke City","engPremier League","31","1985","4.6","168","285","58.9","3889","1505","51","66","77.3","72","96","75.0","45","107","42.1","0","1.2","1.4","-1.2","6","28","7","4","30",
"Antonio Adán","esESP","GK","Betis","esLa Liga","30","1987","30.0","868","1256","69.1","24352","18206","125","125","100.0","444","462","96.1","298","664","44.9","2","0.7","0.0","+1.3","4","8","0","0","0",
