Name, Nation, Position, Club, League, Age, YearBorn,MP,Mins,Mn/MP,Min%, 90s,Starts,Mn/Start,CompleteMatches,Subs,Mn/Sub, unusedSub, PointsPerMatch, GoalsScoredOnPitch,GoalsAllowedOnPitch,Scored-Allowed, Scored-Allowed90,gOnOffPlusMinus90,XgGoalsScoredOnPitch,XgGoalsAllowedOnPitch,XgScored-Allowed, XgScored-Allowed90, XgOnOffPlusMinus90
"Ismael Aaneba","frFRA","DF","Strasbourg","frLigue 1","20","1999","0","","","","","0","","0","0","","8","","","","","","","","","","","",
"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","28","1990","29","2,507","86","73.3","27.9","29","86","25","0","","0","1.24","21","38","-17","-0.61","-0.41","28.3","42.3","-14.0","-0.50","+0.21",
"Max Aarons","engENG","DF","Norwich City","engPremier League","19","2000","36","3,240","90","94.7","36.0","36","90","36","0","","0","0.50","23","71","-48","-1.33","-0.83","34.6","62.1","-27.5","-0.76","+0.23",
"Diego Abbrandini","itITA","GK","Brescia","itSerie A","17","2001","0","","","","","0","","0","0","","3","","","","","","","","","","","",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","31","1987","28","2,520","90","100.0","28.0","28","90","28","0","","0","1.46","26","21","+5","+0.18","","30.6","28.5","+2.1","+0.08","",
"Suleiman Abdullahi","ngNGA","FW,MF","Union Berlin","deBundesliga","22","1996","6","157","26","5.1","1.7","1","57","0","5","20","5","0.67","2","5","-3","-1.72","-1.29","3.1","4.0","-1.0","-0.55","-0.18",
"Mehdi Abeid","dzALG","MF","Nantes","frLigue 1","26","1992","25","1,817","73","72.1","20.2","20","85","15","5","22","1","1.44","20","25","-5","-0.25","-0.50","20.8","25.4","-4.5","-0.22","-0.65",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","19","2000","15","623","42","24.7","6.9","6","73","2","9","20","1","0.93","7","14","-7","-1.01","-0.58","8.3","10.9","-2.5","-0.37","-0.14",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","33","1986","20","1,688","84","55.2","18.8","19","86","15","1","61","5","1.85","32","27","+5","+0.27","+0.66","30.9","24.3","+6.6","+0.35","+0.15",
"Tammy Abraham","engENG","FW","Chelsea","engPremier League","21","1997","34","2,215","65","64.8","24.6","25","81","9","9","20","0","1.82","45","34","+11","+0.45","+0.15","46.3","27.5","+18.8","+0.76","-0.12",
