Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches 
"Youri Tielemans","beBEL","MF","Monaco","frLigue 1","20","1997","17.4","0","25","12","48.0","1.43","0.69","0.00","0.00","23.5","0","0","0","1.3","1.3","0.05","-1.3","-1.3",
"Andrea Nalini","itITA","FW,MF","Crotone","itSerie A","27","1990","18.2","0","20","9","45.0","1.10","0.49","0.00","0.00","19.3","0","0","0","1.1","1.1","0.05","-1.1","-1.1",
"Frédéric Sammaritano","frFRA","FW,MF","Dijon","frLigue 1","31","1986","15.9","0","31","13","41.9","1.95","0.82","0.00","0.00","18.4","0","0","0","1.7","1.7","0.06","-1.7","-1.7",
"Sandro Ramírez","esESP","FW,MF","Sevilla","esLa Liga","22","1995","8.0","0","24","10","41.7","3.01","1.26","0.00","0.00","18.2","0","0","0","2.1","2.1","0.09","-2.1","-2.1",
"Opa Nguette","snSEN","FW,MF","Metz","frLigue 1","23","1994","11.4","0","27","11","40.7","2.38","0.97","0.00","0.00","18.1","0","0","0","3.9","3.9","0.14","-3.9","-3.9",
"Gabriel Mercado","arARG","DF","Sevilla","esLa Liga","30","1987","23.5","0","18","7","38.9","0.76","0.30","0.00","0.00","14.6","0","0","0","1.4","1.4","0.08","-1.4","-1.4",
"Pierre Højbjerg","dkDEN","MF","Southampton","engPremier League","21","1995","18.6","0","16","6","37.5","0.86","0.32","0.00","0.00","23.6","0","0","0","1.0","1.0","0.06","-1.0","-1.0",
"Álex Mula","esESP","FW,MF","Málaga","esLa Liga","21","1996","6.2","0","17","6","35.3","2.73","0.96","0.00","0.00","19.4","0","0","0","1.6","1.6","0.09","-1.6","-1.6",
"Patrick Herrmann","deGER","MF,FW","Gladbach","deBundesliga","26","1991","12.5","0","20","7","35.0","1.60","0.56","0.00","0.00","15.5","0","0","0","1.9","1.9","0.10","-1.9","-1.9",
"Łukasz Piszczek","plPOL","DF","Dortmund","deBundesliga","32","1985","23.8","0","20","7","35.0","0.84","0.29","0.00","0.00","17.4","0","0","0","1.1","1.1","0.05","-1.1","-1.1",
"Hans Hateboer","nlNED","DF","Atalanta","itSerie A","23","1994","26.6","0","24","8","33.3","0.90","0.30","0.00","0.00","15.2","0","0","0","2.2","2.2","0.09","-2.2","-2.2",
"Vladimír Darida","czCZE","MF","Hertha BSC","deBundesliga","26","1990","18.2","0","25","8","32.0","1.38","0.44","0.00","0.00","23.0","0","0","0","1.0","1.0","0.04","-1.0","-1.0",
"Lois Diony","frFRA","FW","Saint-Étienne","frLigue 1","24","1992","10.3","0","16","5","31.3","1.55","0.48","0.00","0.00","15.6","0","0","0","1.6","1.6","0.10","-1.6","-1.6",
"Artur Ioniță","mdMDA","MF","Cagliari","itSerie A","26","1990","29.7","0","26","8","30.8","0.88","0.27","0.00","0.00","19.9","0","0","0","2.1","2.1","0.08","-2.1","-2.1",
"Vincent Bessat","frFRA","DF,MF","Caen","frLigue 1","31","1985","17.4","0","17","5","29.4","0.97","0.29","0.00","0.00","25.9","0","0","0","0.6","0.6","0.04","-0.6","-0.6",
"Cristiano Lombardi","itITA","MF,DF","Benevento","itSerie A","21","1995","12.4","0","17","5","29.4","1.38","0.40","0.00","0.00","15.7","0","0","0","1.1","1.1","0.07","-1.1","-1.1",
"Juanfran","esESP","DF","La Coruña","esLa Liga","28","1988","34.0","0","24","7","29.2","0.71","0.21","0.00","0.00","23.4","0","0","0","1.3","1.3","0.05","-1.3","-1.3",
"Adalberto Peñaranda","veVEN","FW,MF","Málaga","esLa Liga","20","1997","8.9","0","21","6","28.6","2.36","0.67","0.00","0.00","23.8","0","0","0","0.7","0.7","0.04","-0.7","-0.7",
"Antonino Ragusa","itITA","FW,MF","Sassuolo","itSerie A","27","1990","9.2","0","21","6","28.6","2.29","0.65","0.00","0.00","14.8","0","0","0","3.1","3.0","0.16","-3.1","-3.0",
"Riccardo Saponara","itITA","MF,FW","Fiorentina","itSerie A","25","1991","10.0","0","21","6","28.6","2.10","0.60","0.00","0.00","20.9","0","0","0","1.0","1.0","0.05","-1.0","-1.0",
"Roberto Soriano","itITA","MF,FW","Villarreal","esLa Liga","26","1991","12.7","0","21","6","28.6","1.66","0.47","0.00","0.00","21.9","0","0","0","1.6","1.6","0.08","-1.6","-1.6",
"Pablo Maffeo","esESP","DF","Girona","esLa Liga","20","1997","29.4","0","25","7","28.0","0.85","0.24","0.00","0.00","21.1","0","0","0","0.9","0.9","0.04","-0.9","-0.9",
"Keko","esESP","MF,FW","Málaga","esLa Liga","25","1991","13.4","0","18","5","27.8","1.34","0.37","0.00","0.00","20.2","0","0","0","1.3","1.3","0.07","-1.3","-1.3",
"Iñigo Lekue","esESP","DF,FW","Athletic Club","esLa Liga","24","1993","23.5","0","18","5","27.8","0.77","0.21","0.00","0.00","26.7","0","0","0","0.5","0.5","0.03","-0.5","-0.5",
"Ferland Mendy","frFRA","DF","Lyon","frLigue 1","22","1995","23.6","0","18","5","27.8","0.76","0.21","0.00","0.00","21.3","0","0","0","0.8","0.8","0.04","-0.8","-0.8",
"Gōtoku Sakai","jpJPN","DF,MF","Hamburger SV","deBundesliga","26","1991","25.4","0","18","5","27.8","0.71","0.20","0.00","0.00","24.2","0","0","0","0.7","0.7","0.04","-0.7","-0.7",
"Benjamin Corgnet","frFRA","MF,FW","Strasbourg","frLigue 1","30","1987","15.3","0","27","7","25.9","1.77","0.46","0.00","0.00","17.5","0","0","0","1.8","1.8","0.07","-1.8","-1.8",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","23","1994","24.4","0","20","5","25.0","0.82","0.21","0.00","0.00","25.9","0","0","0","0.6","0.6","0.03","-0.6","-0.6",
"Jonas Hofmann","deGER","MF,FW","Gladbach","deBundesliga","25","1992","11.5","0","20","5","25.0","1.74","0.44","0.00","0.00","17.8","0","0","0","2.1","2.1","0.10","-2.1","-2.1",
"Ruben Aguilar","frFRA","DF","Montpellier","frLigue 1","24","1993","27.3","0","16","4","25.0","0.59","0.15","0.00","0.00","18.6","0","0","0","0.7","0.7","0.05","-0.7","-0.7",
"Ryder Matos","brBRA","FW,MF","Hellas Verona","itSerie A","24","1993","10.9","0","16","4","25.0","1.47","0.37","0.00","0.00","19.1","0","0","0","0.7","0.7","0.05","-0.7","-0.7",
"Federico Mattiello","itITA","DF","SPAL","itSerie A","22","1995","24.5","0","16","4","25.0","0.65","0.16","0.00","0.00","17.5","0","0","0","0.7","0.7","0.04","-0.7","-0.7",
"Zakaria Bakkali","beBEL","FW,MF","La Coruña","esLa Liga","21","1996","10.1","0","25","6","24.0","2.48","0.59","0.00","0.00","20.4","0","0","0","1.2","1.2","0.05","-1.2","-1.2",
"Marvin Bakalorz","deGER","MF","Hannover 96","deBundesliga","27","1989","22.8","0","21","5","23.8","0.92","0.22","0.00","0.00","21.1","0","0","0","1.7","1.7","0.08","-1.7","-1.7",
"Luca Mazzitelli","itITA","MF","Sassuolo","itSerie A","21","1995","11.3","0","17","4","23.5","1.50","0.35","0.00","0.00","21.0","0","0","0","1.2","1.2","0.07","-1.2","-1.2",
"Jan Repas","siSVN","MF,FW","Caen","frLigue 1","20","1997","10.0","0","17","4","23.5","1.70","0.40","0.00","0.00","24.8","0","0","0","0.6","0.6","0.03","-0.6","-0.6",
"Mahmoud Dahoud","deGER","MF","Dortmund","deBundesliga","21","1996","12.7","0","26","6","23.1","2.04","0.47","0.00","0.00","22.5","0","0","0","2.2","2.2","0.08","-2.2","-2.2",
"Alfred Duncan","ghGHA","MF","Sassuolo","itSerie A","24","1993","21.6","0","40","9","22.5","1.85","0.42","0.00","0.00","23.1","0","0","0","2.0","2.0","0.05","-2.0","-2.0",
"James Tarkowski","engENG","DF","Burnley","engPremier League","24","1992","31.0","0","18","4","22.2","0.58","0.13","0.00","0.00","9.9","0","0","0","1.4","1.4","0.08","-1.4","-1.4",
"Federico Valverde","uyURU","MF,FW","La Coruña","esLa Liga","19","1998","13.7","0","18","4","22.2","1.31","0.29","0.00","0.00","26.4","0","0","0","0.8","0.8","0.04","-0.8","-0.8",
"Nordi Mukiele","frFRA","DF","Montpellier","frLigue 1","19","1997","31.0","0","19","4","21.1","0.61","0.13","0.00","0.00","23.8","0","0","0","1.2","1.2","0.06","-1.2","-1.2",
"Marc Pugh","engENG","MF,FW","Bournemouth","engPremier League","30","1987","10.9","0","19","4","21.1","1.74","0.37","0.00","0.00","17.3","0","0","0","1.3","1.3","0.07","-1.3","-1.3",
"Jhon Córdoba","coCOL","FW","Köln","deBundesliga","24","1993","10.6","0","34","7","20.6","3.20","0.66","0.00","0.00","14.0","0","0","0","4.0","4.0","0.12","-4.0","-4.0",
"Andre-Frank Zambo Anguissa","cmCMR","MF","Marseille","frLigue 1","21","1995","27.1","0","34","7","20.6","1.25","0.26","0.00","0.00","21.7","0","0","0","1.6","1.6","0.05","-1.6","-1.6",
"Vitorino Hilton","brBRA","DF","Montpellier","frLigue 1","39","1977","27.0","0","20","4","20.0","0.74","0.15","0.00","0.00","12.3","0","0","0","1.4","1.4","0.07","-1.4","-1.4",
"Tanguy Ndombele","frFRA","MF","Lyon","frLigue 1","20","1996","26.1","0","26","5","19.2","0.99","0.19","0.00","0.00","23.9","0","0","0","1.4","1.4","0.05","-1.4","-1.4",
"Álvaro González","esESP","DF","Villarreal","esLa Liga","27","1990","32.2","0","16","3","18.8","0.50","0.09","0.00","0.00","11.0","0","0","0","1.6","1.6","0.10","-1.6","-1.6",
"Vincent Manceau","frFRA","DF","Angers","frLigue 1","28","1989","33.0","0","16","3","18.8","0.48","0.09","0.00","0.00","23.5","0","0","0","0.6","0.6","0.04","-0.6","-0.6",
"Valentin Rosier","frFRA","DF","Dijon","frLigue 1","20","1996","30.9","0","16","3","18.8","0.52","0.10","0.00","0.00","22.8","0","0","0","1.0","1.0","0.07","-1.0","-1.0",
"Daniel Baier","deGER","MF","Augsburg","deBundesliga","33","1984","28.2","0","27","5","18.5","0.96","0.18","0.00","0.00","24.9","0","0","0","0.9","0.9","0.03","-0.9","-0.9",
"Adam Masina","maMAR","DF","Bologna","itSerie A","23","1994","31.4","0","17","3","17.6","0.54","0.10","0.00","0.00","16.9","0","0","0","1.9","1.9","0.11","-1.9","-1.9",
"Cédric Soares","ptPOR","DF","Southampton","engPremier League","25","1991","31.0","0","23","4","17.4","0.74","0.13","0.00","0.00","24.9","0","0","0","0.7","0.7","0.03","-0.7","-0.7",
"Ramy Bensebaini","dzALG","DF","Rennes","frLigue 1","22","1995","26.0","0","19","3","15.8","0.73","0.12","0.00","0.00","19.4","0","0","0","1.3","1.3","0.07","-1.3","-1.3",
"Bernardo Espinosa","coCOL","DF","Girona","esLa Liga","28","1989","31.9","0","26","4","15.4","0.82","0.13","0.00","0.00","11.8","0","0","0","2.7","2.7","0.10","-2.7","-2.7",
"Mohamed Fares","dzALG","DF,MF","Hellas Verona","itSerie A","21","1996","28.9","0","33","5","15.2","1.14","0.17","0.00","0.00","21.7","0","0","0","1.8","1.8","0.06","-1.8","-1.8",
"Wilfred Ndidi","ngNGA","MF","Leicester City","engPremier League","20","1996","32.2","0","41","6","14.6","1.27","0.19","0.00","0.00","22.6","0","0","0","2.1","2.1","0.05","-2.1","-2.1",
"Shane Duffy","ieIRL","DF","Brighton","engPremier League","25","1992","36.6","0","28","4","14.3","0.77","0.11","0.00","0.00","10.0","0","0","0","2.3","2.3","0.08","-2.3","-2.3",
"Davy Pröpper","nlNED","MF","Brighton","engPremier League","25","1991","34.7","0","36","5","13.9","1.04","0.14","0.00","0.00","22.2","0","0","0","1.9","1.9","0.05","-1.9","-1.9",
"Vittorio Parigini","itITA","MF,FW","Benevento","itSerie A","21","1996","9.5","0","22","3","13.6","2.31","0.32","0.00","0.00","25.6","0","0","0","1.1","1.1","0.05","-1.1","-1.1",
