Player, Nation, Position, Club, League, Age, YearBorn, 90s, Goals, Shots, SoT, SoT%, Sh/90, SoT/90,G/Sh,G/SoT,DistAvg, FKAtt,PKMade,PKAtt, xG, npxG, npxG/Sh, G-xG, np:G-xG, Matches
"Max Aarons","engENG","DF","Norwich City","engPremier League","21","2000","32.0","0","13","2","15.4","0.41","0.06","0.00","0.00","19.9","0","0","0","0.8","0.8","0.06","-0.8","-0.8",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","33","1987","33.1","2","18","6","33.3","0.54","0.18","0.11","0.33","18.3","0","0","0","1.2","1.2","0.07","+0.8","+0.8",
"Salis Abdul Samed","ghGHA","MF","Clermont Foot","frLigue 1","21","2000","27.4","1","18","5","27.8","0.66","0.18","0.06","0.20","21.5","0","0","0","0.7","0.7","0.04","+0.3","+0.3",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","28","1993","32.8","0","29","7","24.1","0.88","0.21","0.00","0.00","24.2","0","0","0","1.5","1.5","0.05","-1.5","-1.5",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","21","2000","0.5","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Dickson Abiama","ngNGA","FW","Greuther Fürth","deBundesliga","22","1998","8.1","0","18","4","22.2","2.23","0.50","0.00","0.00","16.7","0","0","0","1.8","1.8","0.10","-1.8","-1.8",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","18","2003","1.1","0","2","0","0.0","1.75","0.00","0.00","","9.5","0","0","0","0.3","0.3","0.14","-0.3","-0.3",
"Tammy Abraham","engENG","FW","Roma","itSerie A","23","1997","34.3","17","92","35","38.0","2.68","1.02","0.15","0.40","12.9","3","3","3","20.7","18.4","0.20","-3.7","-4.4",
"Luis Abram","pePER","DF","Granada","esLa Liga","25","1996","6.2","0","2","0","0.0","0.32","0.00","0.00","","9.0","0","0","0","0.3","0.3","0.14","-0.3","-0.3",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","33","1988","28.2","4","15","7","46.7","0.53","0.25","0.27","0.57","10.8","0","0","0","2.4","2.4","0.16","+1.6","+1.6",
"Ragnar Ache","deGER","MF,FW","Eint Frankfurt","deBundesliga","23","1998","2.9","0","10","2","20.0","3.47","0.69","0.00","0.00","16.1","0","0","0","0.4","0.4","0.04","-0.4","-0.4",
"Mohamed Achi","frFRA","MF","Nantes","frLigue 1","19","2002","0.1","0","0","0","","0.00","0.00","","","","0","0","0","0.0","0.0","","0.0","0.0",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","29","1991","25.1","1","16","5","31.3","0.64","0.20","0.06","0.20","21.7","1","0","0","1.2","1.2","0.08","-0.2","-0.2",
"Che Adams","sctSCO","FW","Southampton","engPremier League","25","1996","22.7","7","49","24","49.0","2.16","1.06","0.14","0.29","13.3","0","0","0","7.1","7.1","0.15","-0.1","-0.1",
