Player,Nation,Position,Club,Leauge,Age,YearBorn,90s,SCA,SCA90,scLivePass,scDeadPass,scTake-on,scShots,scFouls,scDefense,GCA,GCA90,gcLivePass,gcDeadPass,gcTake-on,gcShots,gcFouls,gcDefense,Matches
"Max Aarons","engENG","DF","Norwich City","engPremier League","21","2000","32.0","46","1.44","34","3","2","3","3","1","3","0.09","3","0","0","0","0","0",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","33","1987","33.1","22","0.66","17","0","2","1","0","2","1","0.03","1","0","0","0","0","0",
"Salis Abdul Samed","ghGHA","MF","Clermont Foot","frLigue 1","21","2000","27.4","50","1.83","41","0","0","4","4","1","3","0.11","3","0","0","0","0","0",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","28","1993","32.8","83","2.53","67","2","3","1","7","3","9","0.27","8","0","0","0","1","0",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","21","2000","0.5","1","2.00","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Dickson Abiama","ngNGA","FW","Greuther Fürth","deBundesliga","22","1998","8.1","15","1.85","10","0","0","2","2","1","2","0.25","1","0","0","1","0","0",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","18","2003","1.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Tammy Abraham","engENG","FW","Roma","itSerie A","23","1997","34.3","94","2.74","62","1","6","17","7","1","14","0.41","6","0","2","3","3","0",
"Luis Abram","pePER","DF","Granada","esLa Liga","25","1996","6.2","3","0.48","1","0","0","2","0","0","1","0.16","0","0","0","1","0","0",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","33","1988","28.2","17","0.61","13","1","0","1","2","0","2","0.07","1","0","0","0","1","0",
"Ragnar Ache","deGER","MF,FW","Eint Frankfurt","deBundesliga","23","1998","2.9","8","2.78","4","0","1","2","1","0","1","0.35","0","0","0","1","0","0",
"Mohamed Achi","frFRA","MF","Nantes","frLigue 1","19","2002","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","29","1991","25.1","75","2.99","48","19","2","3","3","0","3","0.12","1","2","0","0","0","0",
"Che Adams","sctSCO","FW","Southampton","engPremier League","25","1996","22.7","51","2.25","32","0","2","4","11","2","5","0.22","3","0","1","0","0","1",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","22","1999","15.0","26","1.73","23","1","1","1","0","0","4","0.27","4","0","0","0","0","0",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","28","1993","3.7","11","2.98","8","0","2","0","0","1","1","0.27","1","0","0","0","0","0",
"Martin Adeline","frFRA","MF,FW","Reims","frLigue 1","17","2003","3.9","10","2.56","8","0","1","0","0","1","0","0.00","0","0","0","0","0","0",
"Amine Adli","maMAR","FW,MF","Leverkusen","deBundesliga","21","2000","14.0","49","3.51","39","1","3","4","2","0","6","0.43","5","0","0","1","0","0",
"Yacine Adli","frFRA","MF,FW","Bordeaux","frLigue 1","21","2000","25.1","121","4.82","81","22","6","3","5","4","18","0.72","13","3","1","0","1","0",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","24","1997","4.9","10","2.05","9","1","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Felix Afena-Gyan","ghGHA","FW,MF","Roma","itSerie A","18","2003","7.4","23","3.10","14","0","2","2","5","0","2","0.27","1","0","1","0","0","0",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","25","1996","18.0","32","1.78","25","3","2","0","2","0","3","0.17","2","0","1","0","0","0",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","20","2000","4.0","1","0.25","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Lucien Agoume","frFRA","MF","Brest","frLigue 1","19","2002","20.8","35","1.69","28","1","1","4","1","0","2","0.10","2","0","0","0","0","0",
"Kevin Agudelo","coCOL","MF,FW","Spezia","itSerie A","22","1998","13.7","39","2.84","21","0","6","4","4","4","3","0.22","1","0","0","0","0","2",
"Nayef Aguerd","maMAR","DF","Rennes","frLigue 1","25","1996","30.4","15","0.49","10","0","0","4","1","0","4","0.13","3","0","0","0","1","0",
"Sergio Agüero","arARG","FW","Barcelona","esLa Liga","33","1988","1.7","3","1.78","3","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Ruben Aguilar","frFRA","DF","Monaco","frLigue 1","28","1993","23.8","32","1.35","25","3","1","1","2","0","4","0.17","3","1","0","0","0","0",
"Álvaro Aguirre","esESP","FW","Rayo Vallecano","esLa Liga","21","2000","0.1","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Naouirou Ahamada","frFRA","MF,DF","Stuttgart","deBundesliga","19","2002","0.7","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Anel Ahmedhodžić","baBIH","DF","Bordeaux","frLigue 1","22","1999","15.0","20","1.33","16","1","0","2","0","1","2","0.13","2","0","0","0","0","0",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","27","1994","11.2","23","2.06","19","0","1","1","1","1","3","0.27","3","0","0","0","0","0",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","25","1995","29.3","16","0.55","15","0","0","1","0","0","2","0.07","2","0","0","0","0","0",
"Ola Aina","ngNGA","DF","Torino","itSerie A","24","1996","16.0","37","2.32","29","2","3","0","3","0","1","0.06","1","0","0","0","0","0",
"Rayan Aït-Nouri","dzALG","DF,MF","Wolves","engPremier League","20","2001","20.3","45","2.22","30","8","4","0","2","1","6","0.30","4","1","0","0","1","0",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","23","1998","22.2","33","1.50","22","6","2","1","1","1","7","0.32","3","1","2","0","1","0",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","27","1994","30.4","84","2.76","63","0","2","9","9","1","10","0.33","6","0","0","2","2","0",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","26","1995","25.1","16","0.64","12","2","1","1","0","0","1","0.04","1","0","0","0","0","0",
"Carlos Akapo","gqEQG","DF","Cádiz","esLa Liga","28","1993","20.5","26","1.27","17","4","1","1","3","0","1","0.05","1","0","0","0","0","0",
"Marley Aké","frFRA","FW,MF","Juventus","itSerie A","20","2001","0.9","1","1.18","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","26","1995","10.3","5","0.49","5","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Ilias Akhomach","maMAR","FW","Barcelona","esLa Liga","17","2004","1.4","9","6.53","5","0","1","1","2","0","0","0.00","0","0","0","0","0","0",
"Maghnes Akliouche","frFRA","MF,FW","Monaco","frLigue 1","19","2002","0.6","1","1.67","1","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","23","1997","5.7","7","1.22","7","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Lazio","itSerie A","28","1992","3.5","3","0.86","2","0","0","1","0","0","0","0.00","0","0","0","0","0","0",
"Kevin Akpoguma","ngNGA","DF,FW","Hoffenheim","deBundesliga","26","1995","17.0","32","1.89","23","1","3","3","2","0","2","0.12","1","0","0","1","0","0",
"David Alaba","atAUT","DF","Real Madrid","esLa Liga","29","1992","29.4","45","1.53","37","2","1","4","0","1","8","0.27","7","0","0","1","0","0",
"Sofiane Alakouch","maMAR","DF,MF","Metz","frLigue 1","23","1998","1.8","4","2.28","2","0","0","0","2","0","0","0.00","0","0","0","0","0","0",
"Tomás Alarcón","clCHI","MF","Cádiz","esLa Liga","22","1999","15.8","28","1.77","14","12","1","0","0","1","2","0.13","0","2","0","0","0","0",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","28","1992","7.3","27","3.69","17","0","6","2","2","0","4","0.55","3","0","1","0","0","0",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","32","1989","29.4","89","3.03","82","3","0","2","2","0","14","0.48","13","0","0","1","0","0",
"Josué Albert","gfGUF","DF","Clermont Foot","frLigue 1","29","1992","0.2","0","0.00","0","0","0","0","0","0","0","0.00","0","0","0","0","0","0",
"Luis Alberto","esESP","MF","Lazio","itSerie A","28","1992","26.1","120","4.59","83","26","3","3","5","0","16","0.61","6","7","1","2","0","0",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","35","1985","27.4","10","0.37","9","0","0","1","0","0","2","0.07","1","0","0","1","0","0",
"Marc Albrighton","engENG","FW,DF","Leicester City","engPremier League","31","1989","12.6","19","1.51","12","4","0","0","3","0","2","0.16","2","0","0","0","0","0",
"Paco Alcácer","esESP","FW","Villarreal","esLa Liga","27","1993","8.7","15","1.71","12","0","1","2","0","0","6","0.69","5","0","1","0","0","0",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","30","1991","17.0","67","3.93","57","0","1","7","1","1","6","0.35","6","0","0","0","0","0",
"Rubén Alcaraz","esESP","MF","Cádiz","esLa Liga","30","1991","12.3","39","3.18","28","5","1","2","3","0","1","0.08","1","0","0","0","0","0",
"Omar Alderete","pyPAR","DF","Valencia","esLa Liga","24","1996","26.7","17","0.64","14","1","1","0","0","1","2","0.07","2","0","0","0","0","0",
"Iván Alejo","esESP","MF,FW","Cádiz","esLa Liga","26","1995","11.8","38","3.21","33","1","3","1","0","0","4","0.34","3","0","1","0","0","0",
"Doğan Alemdar","trTUR","GK","Rennes","frLigue 1","18","2002","12.0","1","0.08","1","0","0","0","0","0","1","0.08","1","0","0","0","0","0",
"Carles Aleñá","esESP","MF","Getafe","esLa Liga","23","1998","25.8","64","2.48","50","2","2","4","6","0","4","0.16","4","0","0","0","0","0",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","22","1998","31.7","160","5.05","96","53","3","7","1","0","18","0.57","13","4","0","1","0","0",
"Mohamed Ali Cho","frFRA","FW","Angers","frLigue 1","17","2004","20.4","42","2.06","23","0","11","2","5","1","7","0.34","4","0","0","2","1","0",
"Alisson","brBRA","GK","Liverpool","engPremier League","28","1992","36.0","2","0.06","2","0","0","0","0","0","1","0.03","1","0","0","0","0","0",
"Allan","brBRA","MF","Everton","engPremier League","30","1991","24.3","38","1.57","35","0","1","0","1","1","7","0.29","5","0","1","0","1","0",
"Jim Allevinah","gaGAB","FW","Clermont Foot","frLigue 1","26","1995","16.5","53","3.21","32","4","9","6","1","1","3","0.18","2","0","0","1","0","0",
