Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave% 
"Antonio Adán","esESP","GK","Betis","esLa Liga","30","1987","30","30","2,700","30.0","53","1.77","132","82","62.1","14","4","12","9","30.0","4","3","1","0","25.0",
"René Adler","deGER","GK","Mainz 05","deBundesliga","32","1985","14","14","1,260","14.0","18","1.29","53","35","67.9","5","3","6","4","28.6","2","1","0","1","0.0",
"Adrián","esESP","GK","West Ham","engPremier League","30","1987","19","19","1,710","19.0","29","1.53","96","68","70.8","7","6","6","6","31.6","1","1","0","0","0.0",
"Alisson","brBRA","GK","Roma","itSerie A","24","1992","37","37","3,330","37.0","28","0.76","135","105","81.5","22","8","7","17","45.9","5","3","2","0","40.0",
"Sergio Álvarez","esESP","GK","Celta Vigo","esLa Liga","30","1986","17","16","1,475","16.4","29","1.77","75","47","62.7","3","6","7","3","18.8","1","1","0","0","0.0",
"Ibrahim Amadou","frFRA","MF,DF","Lille","frLigue 1","24","1993","1","0","17","26.7","2","10.59","3","1","66.7","0","0","0","0","","1","1","0","0","0.0",
"Jon Ander Serantes","esESP","GK","Leganés","esLa Liga","27","1989","1","1","90","1.0","2","2.00","8","6","75.0","1","0","0","0","0.0","0","0","0","0","",
"Nícolas Andrade","brBRA","GK","Hellas Verona","itSerie A","29","1988","36","36","3,240","36.0","71","1.97","233","162","72.1","7","4","25","7","19.4","8","6","2","0","25.0",
"Miguel Ángel Moyá","esESP","GK","Real Sociedad","esLa Liga","33","1984","9","9","765","8.5","8","0.94","33","24","81.8","3","2","4","2","22.2","3","2","1","0","33.3",
"Alphonse Areola","frFRA","GK","Paris S-G","frLigue 1","24","1993","34","34","3,060","34.0","25","0.74","102","77","76.5","26","6","2","17","50.0","3","1","1","1","50.0",
"Kepa Arrizabalaga","esESP","GK","Athletic Club","esLa Liga","22","1994","30","30","2,700","30.0","43","1.43","136","94","69.1","7","9","14","7","23.3","3","1","2","0","66.7",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","28","1989","23","23","2,070","23.0","30","1.30","93","60","71.0","12","3","8","6","26.1","6","3","3","0","50.0",
"Mariano Barbosa","arARG","GK","Villarreal","esLa Liga","33","1984","13","12","1,125","12.5","14","1.12","48","34","72.9","6","3","3","5","41.7","1","1","0","0","0.0",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","27","1990","34","34","3,060","34.0","48","1.41","147","100","69.4","15","10","9","10","29.4","4","3","1","0","25.0",
"Asmir Begović","baBIH","GK","Bournemouth","engPremier League","30","1987","38","38","3,420","38.0","61","1.61","170","109","65.3","11","11","16","6","15.8","3","2","1","0","33.3",
"Vid Belec","siSVN","GK","Benevento","itSerie A","27","1990","13","13","1,113","12.4","27","2.18","74","49","67.6","2","0","11","1","7.7","3","3","0","0","0.0",
"Vid Belec","siSVN","GK","Sampdoria","itSerie A","27","1990","2","2","180","2.0","5","2.50","15","10","73.3","0","0","2","0","0.0","1","1","0","0","0.0",
"Diego Benaglio","chSUI","GK","Monaco","frLigue 1","33","1983","3","2","225","2.5","0","0.00","6","6","100.0","2","0","0","3","150.0","0","0","0","0","",
"Walter Benítez","arARG","GK","Nice","frLigue 1","24","1993","28","28","2,520","28.0","36","1.29","113","76","70.8","12","8","8","7","25.0","5","3","2","0","40.0",
"Etrit Berisha","alALB","GK","Atalanta","itSerie A","28","1989","31","31","2,790","31.0","34","1.10","99","64","66.7","13","10","8","8","25.8","2","1","1","0","50.0",
"Quentin Beunardeau","frFRA","GK","Metz","frLigue 1","23","1994","1","0","38","0.4","2","4.74","4","2","50.0","0","0","0","0","","0","0","0","0","",
"Albano Bizzarri","arARG","GK","Udinese","itSerie A","39","1977","32","32","2,880","32.0","52","1.62","143","92","65.0","11","4","17","8","25.0","5","2","2","1","50.0",
"Rubén Blanco","esESP","GK","Celta Vigo","esLa Liga","22","1995","22","22","1,941","21.6","31","1.44","86","55","67.4","10","4","8","4","18.2","4","3","0","1","0.0",
"Landry Bonnefoi","frFRA","GK","Strasbourg","frLigue 1","33","1983","4","3","271","3.0","6","1.99","17","11","64.7","2","0","1","0","0.0","0","0","0","0","",
"Jean-Christophe Bouet","frFRA","GK","Amiens","frLigue 1","34","1983","1","1","90","1.0","1","1.00","7","6","85.7","0","0","1","0","0.0","0","0","0","0","",
"Yassine Bounou","maMAR","GK","Girona","esLa Liga","26","1991","30","30","2,655","29.5","46","1.56","139","94","69.8","13","6","11","9","30.0","5","4","0","1","0.0",
"Claudio Bravo","clCHI","GK","Manchester City","engPremier League","34","1983","3","2","226","2.5","1","0.40","5","4","80.0","2","0","0","2","100.0","0","0","0","0","",
"Alberto Brignoli","itITA","GK","Benevento","itSerie A","25","1991","13","11","1,126","12.5","31","2.48","70","39","58.6","1","2","8","1","9.1","4","2","0","2","0.0",
"Gianluigi Buffon","itITA","GK","Juventus","itSerie A","39","1978","21","21","1,862","20.7","14","0.68","56","43","80.4","17","2","2","11","52.4","4","3","1","0","25.0",
"Roman Bürki","chSUI","GK","Dortmund","deBundesliga","26","1990","33","33","2,969","33.0","43","1.30","145","102","72.4","15","9","9","12","36.4","3","3","0","0","0.0",
"Ludovic Butelle","frFRA","GK","Angers","frLigue 1","34","1983","19","19","1,653","18.4","22","1.20","68","48","72.1","6","5","8","4","21.1","3","3","0","0","0.0",
"Jack Butland","engENG","GK","Stoke City","engPremier League","24","1993","35","35","3,150","35.0","61","1.74","201","142","72.1","7","11","17","6","17.1","5","5","0","0","0.0",
"Willy Caballero","arARG","GK","Chelsea","engPremier League","35","1981","3","3","270","3.0","4","1.33","11","7","63.6","1","1","1","1","33.3","0","0","0","0","",
"Yoan Cardinale","frFRA","GK","Nice","frLigue 1","23","1994","10","10","900","10.0","16","1.60","41","26","61.0","3","1","6","3","30.0","0","0","0","0","",
"Kiko Casilla","esESP","GK","Real Madrid","esLa Liga","30","1986","10","10","900","10.0","11","1.10","29","19","62.1","6","2","2","3","30.0","0","0","0","0","",
"Koen Casteels","beBEL","GK","Wolfsburg","deBundesliga","25","1992","34","34","3,060","34.0","48","1.41","153","104","72.5","6","15","13","8","23.5","9","6","3","0","33.3",
"Petr Čech","czCZE","GK","Arsenal","engPremier League","35","1982","34","34","3,039","33.8","48","1.42","135","85","68.1","16","6","12","11","32.4","6","5","1","0","16.7",
"Nereo Champagne","arARG","GK","Leganés","esLa Liga","32","1985","2","2","180","2.0","6","3.00","9","3","44.4","0","0","2","0","0.0","1","1","0","0","0.0",
"Leandro Chichizola","arARG","GK","Las Palmas","esLa Liga","27","1990","27","27","2,430","27.0","47","1.74","149","103","70.5","4","5","18","4","14.8","3","3","0","0","0.0",
"Jasper Cillessen","nlNED","GK","Barcelona","esLa Liga","28","1989","1","1","90","1.0","1","1.00","7","6","85.7","1","0","0","0","0.0","0","0","0","0","",
"Andrea Consigli","itITA","GK","Sassuolo","itSerie A","30","1987","37","37","3,316","36.8","58","1.57","172","114","67.4","11","10","16","10","27.0","3","2","1","0","33.3",
"Alex Cordaz","itITA","GK","Crotone","itSerie A","34","1983","38","38","3,420","38.0","66","1.74","200","133","70.0","9","8","21","5","13.2","8","6","1","1","14.3",
"Angelo da Costa Júnior","brBRA","GK","Bologna","itSerie A","33","1983","4","4","360","4.0","5","1.25","17","12","76.5","1","0","3","1","25.0","1","1","0","0","0.0",
"Benoît Costil","frFRA","GK","Bordeaux","frLigue 1","30","1987","36","36","3,240","36.0","45","1.25","123","75","66.7","16","7","13","10","27.8","8","4","4","0","50.0",
"Thibaut Courtois","beBEL","GK","Chelsea","engPremier League","25","1992","35","35","3,150","35.0","34","0.97","106","74","69.8","20","6","9","15","42.9","2","2","0","0","0.0",
"Alessio Cragno","itITA","GK","Cagliari","itSerie A","23","1994","29","29","2,536","28.2","47","1.67","130","82","68.5","7","5","17","7","24.1","10","6","2","2","25.0",
"Luca Crosta","itITA","GK","Cagliari","itSerie A","19","1998","1","1","90","1.0","3","3.00","3","0","33.3","0","0","1","0","0.0","1","1","0","0","0.0",
"Iván Cuéllar","esESP","GK","Leganés","esLa Liga","33","1984","35","35","3,150","35.0","43","1.23","139","95","72.7","11","7","17","14","40.0","6","5","1","0","16.7",
"Karl Darlow","wlsWAL","GK","Newcastle Utd","engPremier League","26","1990","10","10","900","10.0","15","1.50","47","34","74.5","1","5","4","2","20.0","3","3","0","0","0.0",
"Abdoulaye Diallo","snSEN","GK","Rennes","frLigue 1","25","1992","3","3","270","3.0","5","1.67","15","10","73.3","0","2","1","0","0.0","1","1","0","0","0.0",
"Thomas Didillon","frFRA","GK","Metz","frLigue 1","21","1995","9","9","810","9.0","14","1.56","35","22","68.6","1","1","7","2","22.2","3","3","0","0","0.0",
"Marko Dmitrović","rsSRB","GK","Eibar","esLa Liga","25","1992","36","36","3,240","36.0","49","1.36","124","78","63.7","13","8","15","10","27.8","4","4","0","0","0.0",
"Jaume Doménech","esESP","GK","Valencia","esLa Liga","26","1990","5","5","450","5.0","5","1.00","21","16","76.2","4","0","1","2","40.0","0","0","0","0","",
"Gianluigi Donnarumma","itITA","GK","Milan","itSerie A","18","1999","38","38","3,420","38.0","42","1.11","132","91","69.7","18","10","10","12","31.6","3","2","0","1","0.0",
"Bartłomiej Drągowski","plPOL","GK","Fiorentina","itSerie A","19","1997","3","1","217","2.4","8","3.32","17","9","52.9","0","0","1","0","0.0","0","0","0","0","",
"Martin Dúbravka","skSVK","GK","Newcastle Utd","engPremier League","28","1989","12","12","1,080","12.0","11","0.92","37","25","70.3","6","1","5","4","33.3","1","0","1","0","100.0",
"Maxime Dupé","frFRA","GK","Nantes","frLigue 1","24","1993","1","1","90","1.0","3","3.00","5","2","60.0","0","0","1","0","0.0","1","1","0","0","0.0",
"Ederson","brBRA","GK","Manchester City","engPremier League","23","1993","36","36","3,194","35.5","26","0.73","80","54","67.5","30","4","2","16","44.4","2","0","2","0","100.0",
