Player, Nation, Position, Team, League, Age, YearBorn, MatchesPlayed, Starts, Mins, 90s, GoalsAgainst,GoalsAgainst90, ShotsOnTargetAgainst, Saves,Save%,W,D,L,CleanSheet, CleanSheet%, PKatt,PKAllowed,PKSaved,PKMissed,PKSave%
"Antonio Adán","esESP","GK","Atlético Madrid","esLa Liga","31","1987","2","1","90","1.0","2","2.00","7","5","71.4","0","1","0","0","0.0","0","0","0","0","",
"Rúnar Alex Rúnarsson","isISL","GK","Dijon","frLigue 1","23","1995","25","25","2,250","25.0","43","1.72","99","56","58.6","7","5","13","5","20.0","2","2","0","0","0.0",
"Alisson","brBRA","GK","Liverpool","engPremier League","25","1992","38","38","3,420","38.0","22","0.58","96","74","77.1","30","7","1","21","55.3","1","0","0","1","",
"Bobby Allain","frFRA","GK","Dijon","frLigue 1","26","1991","13","13","1,170","13.0","17","1.31","72","56","77.8","2","2","9","1","7.7","1","1","0","0","0.0",
"Sergio Álvarez","esESP","GK","Celta Vigo","esLa Liga","31","1986","13","13","1,170","13.0","22","1.69","58","37","65.5","3","5","5","2","15.4","2","2","0","0","0.0",
"Miguel Ángel Moyá","esESP","GK","Real Sociedad","esLa Liga","34","1984","11","11","990","11.0","11","1.00","33","22","66.7","3","2","6","2","18.2","0","0","0","0","",
"Alphonse Areola","frFRA","GK","Paris S-G","frLigue 1","25","1993","21","21","1,890","21.0","17","0.81","66","50","80.3","16","3","2","11","52.4","4","4","0","0","0.0",
"Kepa Arrizabalaga","esESP","GK","Chelsea","engPremier League","23","1994","36","36","3,240","36.0","39","1.08","121","81","68.6","20","8","8","14","38.9","2","1","1","0","50.0",
"Sergio Asenjo","esESP","GK","Villarreal","esLa Liga","29","1989","32","32","2,880","32.0","45","1.41","162","119","73.5","7","12","13","9","28.1","4","2","1","1","33.3",
"Emil Audero","idIDN","GK","Sampdoria","itSerie A","21","1997","36","36","3,240","36.0","51","1.42","147","96","70.1","14","7","15","11","30.6","8","7","1","0","12.5",
"Francesco Bardi","itITA","GK","Frosinone","itSerie A","26","1992","3","3","270","3.0","5","1.67","12","7","58.3","0","1","2","1","33.3","0","0","0","0","",
"Oliver Baumann","deGER","GK","Hoffenheim","deBundesliga","28","1990","33","33","2,970","33.0","51","1.55","166","116","72.9","12","12","9","5","15.2","6","6","0","0","0.0",
"Asmir Begović","baBIH","GK","Bournemouth","engPremier League","31","1987","24","24","2,160","24.0","47","1.96","104","59","56.7","8","3","13","5","20.8","2","2","0","0","0.0",
"Diego Benaglio","chSUI","GK","Monaco","frLigue 1","34","1983","23","22","2,057","22.9","38","1.66","96","57","63.5","4","6","12","4","18.2","5","3","2","0","40.0",
"Walter Benítez","arARG","GK","Nice","frLigue 1","25","1993","35","35","3,150","35.0","29","0.83","143","112","81.1","15","10","10","16","45.7","5","2","3","0","60.0",
"Etrit Berisha","alALB","GK","Atalanta","itSerie A","29","1989","18","18","1,620","18.0","25","1.39","63","41","61.9","9","3","6","5","27.8","2","1","0","1","0.0",
"Paul Bernardoni","frFRA","GK","Nîmes","frLigue 1","21","1997","38","38","3,420","38.0","58","1.53","180","122","70.0","15","8","15","10","26.3","5","4","1","0","20.0",
"Dimitry Bertaud","cdCOD","GK","Montpellier","frLigue 1","20","1998","1","1","90","1.0","0","0.00","1","1","100.0","0","1","0","1","100.0","0","0","0","0","",
"Marcus Bettinelli","engENG","GK","Fulham","engPremier League","26","1992","7","7","630","7.0","20","2.86","40","19","52.5","1","2","4","0","0.0","3","1","1","1","50.0",
"Rubén Blanco","esESP","GK","Celta Vigo","esLa Liga","23","1995","25","25","2,250","25.0","40","1.60","109","69","67.0","7","6","12","6","24.0","5","4","0","1","0.0",
"Artur Boruc","plPOL","GK","Bournemouth","engPremier League","38","1980","12","12","1,080","12.0","18","1.50","56","38","73.2","4","3","5","4","33.3","3","3","0","0","0.0",
"Zacharie Boucher","frFRA","GK","Angers","frLigue 1","26","1992","2","2","180","2.0","1","0.50","4","3","75.0","1","1","0","1","50.0","0","0","0","0","",
"Yassine Bounou","maMAR","GK","Girona","esLa Liga","27","1991","32","32","2,862","31.8","43","1.35","166","124","77.7","8","10","14","8","25.0","6","6","0","0","0.0",
"Fabian Bredlow","deGER","GK","Nürnberg","deBundesliga","23","1995","14","12","1,127","12.5","28","2.24","61","32","54.1","2","3","7","2","16.7","2","0","1","1","100.0",
"Gianluigi Buffon","itITA","GK","Paris S-G","frLigue 1","40","1978","17","17","1,530","17.0","18","1.06","65","49","73.8","13","1","3","6","35.3","2","1","1","0","50.0",
"Roman Bürki","chSUI","GK","Dortmund","deBundesliga","27","1990","32","32","2,880","32.0","40","1.25","128","88","71.9","21","7","4","10","31.3","4","4","0","0","0.0",
"Ludovic Butelle","frFRA","GK","Angers","frLigue 1","35","1983","36","36","3,239","36.0","48","1.33","161","113","72.0","9","15","12","11","30.6","5","3","2","0","40.0",
