"Max Aarons","engENG","DF","Norwich City","engPremier League","21","2000","32.0","1469","1130","332","17","5","4","50","315","0","0","0","0","1107","7","40",
"Yunis Abdelhamid","maMAR","DF","Reims","frLigue 1","33","1987","33.1","1578","1471","101","89","0","32","4","9","0","0","0","0","1284","6","26",
"Salis Abdul Samed","ghGHA","MF","Clermont Foot","frLigue 1","21","2000","27.4","1701","1678","21","17","1","3","14","4","0","0","0","0","1535","2","29",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","28","1993","32.8","1660","1617","35","25","7","21","37","8","2","0","1","0","1342","8","49",
"Charles Abi","frFRA","FW","Saint-Étienne","frLigue 1","21","2000","0.5","7","7","0","0","0","0","1","0","0","0","0","0","3","0","0",
"Dickson Abiama","ngNGA","FW","Greuther Fürth","deBundesliga","22","1998","8.1","137","129","6","0","2","0","3","0","0","0","0","0","84","2","6",
"Matthis Abline","frFRA","FW","Rennes","frLigue 1","18","2003","1.1","9","9","0","0","0","0","0","0","0","0","0","0","7","0","0",
"Tammy Abraham","engENG","FW","Roma","itSerie A","23","1997","34.3","696","627","67","6","5","1","16","2","0","0","0","0","485","2","20",
"Luis Abram","pePER","DF","Granada","esLa Liga","25","1996","6.2","226","216","9","5","0","0","0","2","0","0","0","0","191","1","4",
"Francesco Acerbi","itITA","DF","Lazio","itSerie A","33","1988","28.2","2043","1955","87","77","1","34","3","1","0","0","0","0","1837","1","6",
"Ragnar Ache","deGER","MF,FW","Eint Frankfurt","deBundesliga","23","1998","2.9","64","61","2","0","0","1","6","2","0","0","0","0","37","1","4",
"Mohamed Achi","frFRA","MF","Nantes","frLigue 1","19","2002","0.1","9","9","0","0","0","0","0","0","0","0","0","0","6","0","0",
"Marcos Acuña","arARG","DF","Sevilla","esLa Liga","29","1991","25.1","1963","1624","333","63","3","30","178","230","40","0","31","0","1543","6","30",
"Che Adams","sctSCO","FW","Southampton","engPremier League","25","1996","22.7","472","468","2","0","4","5","8","1","0","0","0","0","304","2","22",
"Tyler Adams","usUSA","MF","RB Leipzig","deBundesliga","22","1999","15.0","918","882","32","16","1","0","2","14","0","0","0","0","794","4","15",
"Sargis Adamyan","amARM","FW,MF","Hoffenheim","deBundesliga","28","1993","3.7","101","95","5","0","0","0","5","5","0","0","0","0","73","1","3",
"Martin Adeline","frFRA","MF,FW","Reims","frLigue 1","17","2003","3.9","147","138","8","4","0","0","11","0","4","0","4","0","107","1","12",
"Amine Adli","maMAR","FW,MF","Leverkusen","deBundesliga","21","2000","14.0","516","494","17","1","6","0","21","11","1","0","0","0","376","5","27",
"Yacine Adli","frFRA","MF,FW","Bordeaux","frLigue 1","21","2000","25.1","1251","1105","138","48","11","30","114","12","68","38","17","1","906","8","25",
"Michel Aebischer","chSUI","MF","Bologna","itSerie A","24","1997","4.9","239","225","13","5","0","1","7","1","7","0","4","0","205","1","5",
"Felix Afena-Gyan","ghGHA","FW,MF","Roma","itSerie A","18","2003","7.4","152","145","7","0","0","2","8","5","0","0","0","0","114","0","4",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","25","1996","18.0","792","610","179","6","0","5","45","172","1","0","0","0","547","3","16",
"Julen Agirrezabala","esESP","GK","Athletic Club","esLa Liga","20","2000","4.0","82","49","33","7","0","0","0","0","0","0","0","0","62","0","0",
"Lucien Agoume","frFRA","MF","Brest","frLigue 1","19","2002","20.8","996","955","38","30","0","10","5","0","1","0","1","0","836","3","20",
"Kevin Agudelo","coCOL","MF,FW","Spezia","itSerie A","22","1998","13.7","389","375","11","1","0","1","22","4","4","3","1","0","280","3","22",
"Nayef Aguerd","maMAR","DF","Rennes","frLigue 1","25","1996","30.4","2204","2127","74","69","2","41","1","5","0","0","0","0","1959","3","12",
"Sergio Agüero","arARG","FW","Barcelona","esLa Liga","33","1988","1.7","42","40","2","0","0","0","3","0","0","0","0","0","30","0","0",
"Ruben Aguilar","frFRA","DF","Monaco","frLigue 1","28","1993","23.8","1728","1445","277","34","4","16","64","242","1","0","1","0","1435","6","27",
"Álvaro Aguirre","esESP","FW","Rayo Vallecano","esLa Liga","21","2000","0.1","3","2","1","0","0","0","0","1","0","0","0","0","3","0","0",
"Naouirou Ahamada","frFRA","MF,DF","Stuttgart","deBundesliga","19","2002","0.7","32","32","0","0","0","0","0","0","0","0","0","0","28","0","0",
"Anel Ahmedhodžić","baBIH","DF","Bordeaux","frLigue 1","22","1999","15.0","858","826","31","23","0","7","6","8","0","0","0","0","766","1","3",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","27","1994","11.2","412","404","8","8","1","2","6","0","0","0","0","0","339","0","11",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","25","1995","29.3","1567","1531","32","13","1","11","3","19","0","0","0","0","1270","4","9",
"Ola Aina","ngNGA","DF","Torino","itSerie A","24","1996","16.0","755","600","151","9","1","0","34","142","0","0","0","0","535","4","30",
"Rayan Aït-Nouri","dzALG","DF,MF","Wolves","engPremier League","20","2001","20.3","1025","811","211","10","1","7","96","172","29","11","16","0","763","3","19",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","23","1998","22.2","892","734","154","6","2","3","17","148","0","0","0","0","627","4","28",
"Ludovic Ajorque","frFRA","FW","Strasbourg","frLigue 1","27","1994","30.4","906","880","24","1","5","10","17","2","0","0","0","0","653","2","16",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","26","1995","25.1","2013","1944","66","59","1","26","3","7","0","0","0","0","1819","3","10",
"Carlos Akapo","gqEQG","DF","Cádiz","esLa Liga","28","1993","20.5","832","672","158","18","1","3","45","140","0","0","0","0","611","2","20",
"Marley Aké","frFRA","FW,MF","Juventus","itSerie A","20","2001","0.9","16","16","0","0","0","0","1","0","0","0","0","0","12","0","1",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","26","1995","10.3","878","836","41","15","1","2","1","26","0","0","0","0","796","1","5",
"Ilias Akhomach","maMAR","FW","Barcelona","esLa Liga","17","2004","1.4","55","55","0","0","1","0","6","0","0","0","0","0","45","0","2",
"Maghnes Akliouche","frFRA","MF,FW","Monaco","frLigue 1","19","2002","0.6","22","22","0","0","0","0","1","0","0","0","0","0","20","0","0",
"Paul Akouokou","ciCIV","MF","Betis","esLa Liga","23","1997","5.7","325","320","4","4","0","3","1","0","0","0","0","0","284","1","4",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Lazio","itSerie A","28","1992","3.5","106","106","0","0","0","0","0","0","0","0","0","0","89","0","8",
"Kevin Akpoguma","ngNGA","DF,FW","Hoffenheim","deBundesliga","26","1995","17.0","917","742","172","13","0","7","31","159","0","0","0","0","691","3","24",
"David Alaba","atAUT","DF","Real Madrid","esLa Liga","29","1992","29.4","1968","1888","74","34","4","2","40","34","3","3","0","0","1788","6","9",
"Sofiane Alakouch","maMAR","DF,MF","Metz","frLigue 1","23","1998","1.8","103","90","13","1","0","1","2","12","0","0","0","0","83","0","7",
"Tomás Alarcón","clCHI","MF","Cádiz","esLa Liga","22","1999","15.8","572","503","65","29","2","15","64","3","33","14","14","0","398","4","18",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","28","1992","7.3","171","159","12","0","1","1","1","2","0","0","0","0","115","0","9",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","32","1989","29.4","2795","2416","365","96","13","12","121","268","1","0","0","0","2334","14","38",
"Josué Albert","gfGUF","DF","Clermont Foot","frLigue 1","29","1992","0.2","6","5","1","0","0","0","0","1","0","0","0","0","5","0","0",
"Luis Alberto","esESP","MF","Lazio","itSerie A","28","1992","26.1","1970","1751","211","82","18","9","143","12","104","47","40","0","1626","8","29",
"Raúl Albiol","esESP","DF","Villarreal","esLa Liga","35","1985","27.4","1560","1502","57","55","0","12","3","1","0","0","0","0","1339","1","12",
"Marc Albrighton","engENG","FW,DF","Leicester City","engPremier League","31","1989","12.6","558","452","101","15","2","3","78","48","37","27","6","0","347","5","27",
"Paco Alcácer","esESP","FW","Villarreal","esLa Liga","27","1993","8.7","175","151","22","0","2","2","1","2","0","0","0","0","123","2","5",
"Thiago Alcántara","esESP","MF","Liverpool","engPremier League","30","1991","17.0","1508","1488","18","10","4","17","4","4","1","0","1","0","1340","2","13",
"Rubén Alcaraz","esESP","MF","Cádiz","esLa Liga","30","1991","12.3","667","623","43","34","3","16","23","2","7","1","3","0","556","1","13",
"Omar Alderete","pyPAR","DF","Valencia","esLa Liga","24","1996","26.7","961","899","57","52","0","41","4","2","0","0","0","0","580","5","6",
"Iván Alejo","esESP","MF,FW","Cádiz","esLa Liga","26","1995","11.8","329","319","9","3","0","2","97","6","0","0","0","0","193","1","18",
"Doğan Alemdar","trTUR","GK","Rennes","frLigue 1","18","2002","12.0","391","293","98","28","0","1","0","0","0","0","0","0","287","0","0",
"Carles Aleñá","esESP","MF","Getafe","esLa Liga","23","1998","25.8","869","827","39","24","2","10","44","2","11","5","5","0","683","3","25",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","22","1998","31.7","2757","2204","548","93","17","69","273","324","131","29","89","0","2039","5","34",
"Mohamed Ali Cho","frFRA","FW","Angers","frLigue 1","17","2004","20.4","314","304","9","2","1","0","23","3","0","0","0","0","220","1","12",
"Alisson","brBRA","GK","Liverpool","engPremier League","28","1992","36.0","1388","1154","234","62","0","3","0","0","0","0","0","0","1214","0","0",
"Allan","brBRA","MF","Everton","engPremier League","30","1991","24.3","982","912","66","19","1","2","10","10","0","0","0","0","778","4","26",
"Jim Allevinah","gaGAB","FW","Clermont Foot","frLigue 1","26","1995","16.5","545","524","16","3","1","5","34","4","9","5","1","0","416","5","18",
"Dele Alli","engENG","MF","Tottenham","engPremier League","25","1996","7.3","228","210","17","4","1","1","5","4","0","0","0","0","177","1","6",
"Dele Alli","engENG","MF,FW","Everton","engPremier League","25","1996","3.8","157","140","14","3","3","1","1","5","1","0","0","0","114","3","4",
"Miguel Almirón","pyPAR","MF,FW","Newcastle Utd","engPremier League","27","1994","19.1","511","500","8","3","0","2","20","3","0","0","0","0","402","3","19",
"Marcos Alonso","esESP","DF","Chelsea","engPremier League","30","1990","24.1","1486","1190","293","27","2","8","149","199","67","38","23","0","1142","3","39",
"Giorgio Altare","itITA","DF","Cagliari","itSerie A","22","1998","16.3","799","712","83","12","0","3","27","71","0","0","0","0","531","4","11",
"Hugo Álvarez","esESP","FW","Celta Vigo","esLa Liga","18","2003","0.1","3","3","0","0","0","0","0","0","0","0","0","0","1","0","0",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","26","1995","20.7","1019","966","51","50","0","10","3","1","0","0","0","0","832","2","9",
"Dani Alves","brBRA","DF","Barcelona","esLa Liga","38","1983","12.2","1089","925","159","32","6","14","75","93","34","12","16","0","915","5","11",
"Steven Alzate","coCOL","MF","Brighton","engPremier League","22","1998","4.5","233","230","3","2","1","0","0","1","0","0","0","0","204","0","4",
"Ibrahim Amadou","frFRA","DF,MF","Metz","frLigue 1","28","1993","9.0","439","430","9","9","0","5","0","0","0","0","0","0","384","0","2",
"Emmanuel Amankwaa Akurugu","ghGHA","DF","Getafe","esLa Liga","19","2001","0.9","39","31","8","0","0","0","4","8","0","0","0","0","26","0","1",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","26","1994","23.6","1546","1516","28","19","0","2","0","9","0","0","0","0","1399","2","16",
"Amath","snSEN","FW,MF","Mallorca","esLa Liga","25","1996","9.8","202","196","5","0","2","0","7","3","1","0","0","0","159","1","9",
"Jordan Amavi","frFRA","DF","Nice","frLigue 1","27","1994","4.6","319","272","46","4","0","2","6","42","0","0","0","0","269","1","5",
"Jordan Amavi","frFRA","DF,FW","Marseille","frLigue 1","27","1994","1.4","86","69","17","2","0","2","2","15","0","0","0","0","74","0","1",
"Wisdom Amey","itITA","DF","Bologna","itSerie A","15","2005","0.8","29","25","4","4","0","0","0","0","0","0","0","0","20","0","0",
"Kelvin Amian","frFRA","DF","Spezia","itSerie A","23","1998","29.4","1133","862","267","18","1","1","24","249","0","0","0","0","887","4","35",
"Nadiem Amiri","deGER","MF,FW","Genoa","itSerie A","24","1996","7.6","299","255","41","13","2","0","20","2","12","2","7","0","222","3","3",
"Nadiem Amiri","deGER","MF,FW","Leverkusen","deBundesliga","24","1996","4.1","222","209","12","2","0","2","8","3","6","1","5","0","183","1","5",
"Ethan Ampadu","wlsWAL","MF,DF","Venezia","itSerie A","20","2000","25.4","1165","1037","123","41","4","10","20","80","0","0","0","0","867","5","26",
"Sofyan Amrabat","maMAR","MF","Fiorentina","itSerie A","24","1996","10.5","716","685","31","31","1","9","6","0","0","0","0","0","645","0","8",
"Joachim Andersen","dkDEN","DF","Crystal Palace","engPremier League","25","1996","32.4","2351","2252","95","86","3","32","8","5","0","0","0","0","1911","4","11",
"Felipe Anderson","brBRA","FW","Lazio","itSerie A","28","1993","32.1","1436","1342","90","6","5","6","86","32","13","8","3","0","1118","4","36",
"Sebastian Andersson","seSWE","FW","Köln","deBundesliga","30","1991","14.0","234","227","7","0","0","1","9","1","0","0","0","0","147","0","10",
"Florin Andone","roROU","FW","Cádiz","esLa Liga","28","1993","2.0","38","32","6","0","0","0","0","0","0","0","0","0","25","0","1",
"Andrés Andrade Cedeño","paPAN","DF","Arminia","deBundesliga","22","1998","11.6","535","441","93","5","1","1","21","88","0","0","0","0","350","1","18",
"Benjamin André","frFRA","MF","Lille","frLigue 1","30","1990","30.6","1766","1705","55","44","4","19","19","11","0","0","0","0","1404","6","33",
"Fredrik André Bjørkan","noNOR","DF","Hertha BSC","deBundesliga","22","1998","3.9","166","131","35","3","1","0","5","32","0","0","0","0","133","0","5",
"Marcos André","brBRA","FW,MF","Valencia","esLa Liga","24","1996","10.8","184","173","8","0","2","2","3","2","0","0","0","0","122","3","2",
"Robert Andrich","deGER","MF","Leverkusen","deBundesliga","26","1994","20.2","1011","987","18","16","8","1","6","2","0","0","0","0","811","6","9",
"José Ángel","esESP","DF","Osasuna","esLa Liga","31","1989","12.0","785","629","154","23","0","32","46","131","0","0","0","0","590","2","9",
"Angeliño","esESP","DF","RB Leipzig","deBundesliga","24","1997","25.5","1516","1201","304","47","0","6","187","205","52","26","9","0","1082","11","20",
"Ebenezer Annan","ghGHA","DF","Bologna","itSerie A","18","2002","0.3","11","8","3","0","0","0","1","3","0","0","0","0","4","0","0",
"Cristian Ansaldi","arARG","DF","Torino","itSerie A","34","1986","7.7","407","318","86","8","2","4","57","68","10","4","2","0","285","3","4",
"Janis Antiste","frFRA","FW","Spezia","itSerie A","18","2002","8.8","215","195","19","0","1","0","12","6","0","0","0","0","136","1","6",
"Waldemar Anton","deGER","DF","Stuttgart","deBundesliga","25","1996","28.8","1826","1744","80","45","1","20","11","32","0","0","0","0","1541","2","14",
"Josep Antoni Gayá","esESP","DF","Mallorca","esLa Liga","21","2000","0.6","28","26","2","1","0","0","0","0","0","0","0","0","23","0","0",
"Michail Antonio","jmJAM","FW","West Ham","engPremier League","31","1990","33.0","702","675","20","2","4","9","63","16","0","0","0","0","438","7","39",
"Christopher Antwi-Adjei","ghGHA","FW,MF","Bochum","deBundesliga","27","1994","12.6","253","223","29","1","3","0","29","27","1","0","0","0","153","1","20",
"Houssem Aouar","dzALG","MF,FW","Lyon","frLigue 1","23","1998","27.8","1446","1379","64","23","13","10","21","15","10","6","0","0","1243","3","29",
"Adil Aouchiche","frFRA","MF,FW","Saint-Étienne","frLigue 1","19","2002","12.0","614","550","61","18","1","18","68","3","38","14","14","0","457","3","14",
