Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved"Patrick van Aanholt","nlNED","DF","Crystal Palace","engPremier League","26","1990","24.3","1435","90","445","616","391","32","1435","31","26","83.9","5","16.1","717","3714","1966","46","33","7","37","18","711","86",
"Rolando Aarons","engENG","MF,FW","Newcastle Utd","engPremier League","21","1995","1.5","65","0","11","30","25","3","65","6","4","66.7","2","33.3","37","380","127","7","3","3","4","6","39","4",
"Rolando Aarons","engENG","MF,FW","Hellas Verona","itSerie A","21","1995","5.7","166","3","18","71","80","7","166","15","8","53.3","7","46.7","105","712","352","9","11","2","9","13","125","31",
"Ignazio Abate","itITA","DF","Milan","itSerie A","30","1986","11.7","864","35","237","428","206","8","864","1","0","0.0","1","100.0","386","1802","1124","20","18","0","7","6","563","65",
"Aymen Abdennour","tnTUN","DF","Marseille","frLigue 1","27","1989","5.5","375","27","175","200","4","2","375","1","1","100.0","0","0.0","296","1522","829","2","1","0","0","1","278","0",
"Aly Abeid","mrMTN","DF","Levante","esLa Liga","19","1997","0.9","49","4","20","20","10","0","49","1","1","100.0","0","0.0","17","95","67","2","2","0","0","0","23","3",
"Mehdi Abeid","dzALG","MF","Dijon","frLigue 1","24","1992","13.1","752","30","183","496","84","10","752","20","14","70.0","6","30.0","503","2859","1321","20","13","0","24","21","494","14",
"David Abraham","arARG","DF","Eint Frankfurt","deBundesliga","31","1986","25.6","1580","139","734","829","33","11","1580","10","8","80.0","2","20.0","824","4547","2817","17","5","0","8","5","906","7",
"Tammy Abraham","engENG","FW","Swansea City","engPremier League","19","1997","19.2","498","12","33","246","230","65","498","47","27","57.4","20","42.6","305","1600","555","19","16","8","50","51","393","104",
"Amir Abrashi","alALB","MF","Freiburg","deBundesliga","27","1990","9.4","435","23","98","263","77","3","435","5","4","80.0","1","20.0","169","947","335","8","7","1","14","19","224","18",
"Francesco Acerbi","itITA","DF","Sassuolo","itSerie A","29","1988","38.0","2124","299","1076","954","135","21","2124","23","17","73.9","6","26.1","918","5957","2979","35","38","0","26","9","1044","14",
"Afriyie Acquah","ghGHA","MF","Torino","itSerie A","25","1992","10.6","562","8","79","405","92","7","562","24","16","66.7","8","33.3","392","2545","1243","24","18","2","13","14","413","24",
"Charlie Adam","sctSCO","MF","Stoke City","engPremier League","31","1985","4.6","342","9","58","218","76","5","341","12","12","100.0","0","0.0","206","960","436","6","15","2","7","5","211","9",
"Antonio Adán","esESP","GK","Betis","esLa Liga","30","1987","30.0","1327","1084","1324","4","0","0","1327","5","5","100.0","0","0.0","759","4220","3057","0","0","0","6","0","673","0",
"Aday","esESP","DF","Girona","esLa Liga","29","1987","20.4","1259","49","261","504","505","39","1257","42","27","64.3","15","35.7","658","4681","2297","82","47","12","25","23","739","156",
"Khaled Adénon","bjBEN","DF","Amiens","frLigue 1","32","1985","32.5","1562","274","941","621","16","10","1562","7","4","57.1","3","42.9","697","3218","1795","6","3","0","12","7","739","1",
"Claud Adjapong","itITA","DF,FW","Sassuolo","itSerie A","19","1998","13.6","691","38","199","296","207","26","691","19","9","47.4","10","52.6","344","2339","1105","31","25","10","23","24","365","54",
"René Adler","deGER","GK","Mainz 05","deBundesliga","32","1985","14.0","476","363","471","4","1","1","476","0","0","","0","","225","1232","757","0","0","0","4","0","176","0",
"Yacine Adli","frFRA","FW","Paris S-G","frLigue 1","17","2000","0.1","7","0","1","5","1","0","7","0","0","","0","","6","55","16","0","0","0","0","0","7","0",
"Ali Adnan Kadhim","iqIRQ","DF,FW","Udinese","itSerie A","23","1993","18.6","1142","94","343","539","269","6","1142","33","25","75.8","8","24.2","472","2327","1139","25","21","2","19","15","538","56",
"Adrián","esESP","GK","West Ham","engPremier League","30","1987","19.0","641","541","633","9","0","0","641","0","0","","0","","284","2193","1505","0","0","0","0","0","166","0",
"Aritz Aduriz","esESP","FW","Athletic Club","esLa Liga","36","1981","23.9","702","20","41","314","350","108","697","24","19","79.2","5","20.8","411","1876","691","27","19","10","43","42","575","150",
"Ibrahim Afellay","nlNED","MF","Stoke City","engPremier League","31","1986","1.8","89","0","18","63","12","0","89","1","1","100.0","0","0.0","61","214","50","0","0","0","1","3","64","1",
"Benik Afobe","cdCOD","FW","Bournemouth","engPremier League","24","1993","6.8","219","8","18","100","105","28","219","9","7","77.8","2","22.2","138","820","317","12","4","9","28","5","171","37",
"Martin Agirregabiria","esESP","DF","Alavés","esLa Liga","21","1996","20.3","1114","81","401","496","234","6","1114","34","16","47.1","18","52.9","476","2344","1290","24","13","6","20","10","483","54",
"Imanol Agirretxe","esESP","FW","Real Sociedad","esLa Liga","30","1987","2.6","78","2","3","42","33","11","78","3","3","100.0","0","0.0","46","154","29","1","0","0","8","4","65","8",
"Sergio Agüero","arARG","FW","Manchester City","engPremier League","29","1988","21.8","894","6","41","308","561","152","890","84","56","66.7","28","33.3","610","4166","1866","89","48","36","56","43","747","214",
"Ruben Aguilar","frFRA","DF","Montpellier","frLigue 1","24","1993","27.3","1894","63","458","920","548","33","1894","48","30","62.5","18","37.5","855","5307","3416","97","77","5","34","27","1073","160",
"Matías Aguirregaray","uyURU","DF","Las Palmas","esLa Liga","28","1989","12.8","830","34","212","430","201","12","830","23","14","60.9","9","39.1","460","2379","1150","23","23","2","12","15","473","49",
"Jean-Eudes Aholou","ciCIV","MF","Strasbourg","frLigue 1","23","1994","33.4","1694","70","472","1062","191","26","1694","50","39","78.0","11","22.0","860","4336","2037","32","29","2","38","27","991","22",
"Ailton","brBRA","DF,MF","Stuttgart","deBundesliga","22","1995","1.2","86","3","23","55","11","3","86","6","3","50.0","3","50.0","36","234","128","2","3","0","2","0","46","3",
"Youssef Aït Bennasser","maMAR","MF","Caen","frLigue 1","21","1996","22.7","1357","52","297","925","163","4","1357","51","43","84.3","8","15.7","673","4676","2603","37","26","3","18","34","871","27",
"Arlind Ajeti","alALB","DF","Crotone","itSerie A","23","1993","14.1","553","108","330","212","18","9","553","6","5","83.3","1","16.7","236","1060","448","2","2","0","6","4","203","0",
"Manuel Akanji","chSUI","DF","Dortmund","deBundesliga","22","1995","10.0","714","43","277","385","55","9","714","4","4","100.0","0","0.0","389","2666","1639","15","13","2","6","4","474","7",
"Nathan Aké","nlNED","DF","Bournemouth","engPremier League","22","1995","37.3","2048","283","1262","720","84","46","2048","11","10","90.9","1","9.1","946","5466","3075","14","9","1","12","6","1110","10",
"Ager Aketxe","esESP","MF","Athletic Club","esLa Liga","23","1993","0.4","49","0","6","17","26","1","49","1","0","0.0","1","100.0","31","134","36","1","2","1","0","3","34","3",
"Chadrac Akolo","cdCOD","MF,FW","Stuttgart","deBundesliga","22","1995","12.2","460","3","27","219","224","38","459","44","16","36.4","28","63.6","267","1617","823","27","26","2","18","25","332","75",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","22","1995","18.8","1190","77","536","609","52","7","1190","14","10","71.4","4","28.6","647","3258","2078","23","8","1","11","5","802","8",
"David Alaba","atAUT","DF","Bayern Munich","deBundesliga","25","1992","17.2","1479","45","294","651","540","30","1479","34","12","35.3","22","64.7","886","4048","2328","53","45","6","7","5","1030","178",
"Lucas Alario","arARG","FW","Leverkusen","deBundesliga","24","1992","17.2","610","18","49","288","284","86","608","40","22","55.0","18","45.0","395","1751","546","16","24","6","40","36","498","111",
"David Alba","esESP","DF","Getafe","esLa Liga","18","1999","0.7","17","5","13","4","0","0","17","0","0","","0","","5","19","8","0","0","0","0","0","4","0",
"Jordi Alba","esESP","DF","Barcelona","esLa Liga","28","1989","30.5","2688","82","666","1197","845","98","2688","33","23","69.7","10","30.3","1525","5855","3128","58","53","13","30","14","1858","314",
"Raúl Albentosa","esESP","DF","La Coruña","esLa Liga","28","1988","19.4","955","122","622","302","35","28","955","3","2","66.7","1","33.3","395","1492","606","1","3","0","6","0","546","5",
"Luis Alberto","esESP","FW,MF","Lazio","itSerie A","24","1992","29.7","2136","7","128","1050","995","67","2134","86","59","68.6","27","31.4","1461","8283","4656","126","109","20","56","54","1567","179",
"Raúl Albiol","esESP","DF","Napoli","itSerie A","31","1985","30.5","2760","149","876","1839","55","28","2760","5","2","40.0","3","60.0","1838","9780","6268","27","10","0","6","3","2036","4",
"Miiko Albornoz","clCHI","DF,MF","Hannover 96","deBundesliga","26","1990","7.8","509","34","160","207","144","10","509","13","9","69.2","4","30.8","207","1129","614","10","7","0","3","4","271","19",
"Marc Albrighton","engENG","MF,FW","Leicester City","engPremier League","27","1989","28.2","1581","54","302","701","601","34","1581","95","52","54.7","43","45.3","846","5041","2154","64","43","6","47","38","988","162",
"Paco Alcácer","esESP","MF,FW","Barcelona","esLa Liga","23","1993","7.7","297","5","26","142","135","31","297","10","3","30.0","7","70.0","177","588","238","6","6","3","16","7","220","42",
"Pedro Alcalá","esESP","DF","Girona","esLa Liga","28","1989","7.7","379","45","209","152","19","10","379","5","5","100.0","0","0.0","176","731","419","3","2","0","5","0","199","0",
"Thiago Alcántara","esESP","MF,FW","Bayern Munich","deBundesliga","26","1991","13.9","1460","16","169","895","414","26","1460","42","24","57.1","18","42.9","815","3791","1935","30","39","4","11","15","1192","80",
"David Alcibiade","frFRA","DF","Nantes","frLigue 1","25","1991","2.3","124","13","46","53","27","3","124","0","0","","0","","45","241","161","2","3","0","1","1","45","2",
"Toby Alderweireld","beBEL","DF","Tottenham","engPremier League","28","1989","13.1","1049","65","413","564","78","11","1049","7","6","85.7","1","14.3","611","3145","2152","12","12","0","4","0","761","5",
"Steve Aldo One","cmCMR","DF","La Coruña","esLa Liga","22","1995","1.0","31","4","18","14","0","0","31","0","0","","0","","17","74","44","0","0","0","0","0","16","0",
"Álex Alegría","esESP","FW","Levante","esLa Liga","24","1992","7.0","255","9","12","129","115","29","255","6","1","16.7","5","83.3","158","446","100","2","3","2","38","20","193","29",
"Iván Alejo","esESP","MF,FW","Eibar","esLa Liga","22","1995","12.2","500","1","35","162","319","33","500","72","33","45.8","39","54.2","359","2863","1407","71","33","9","46","18","360","125",
"Alexander","arARG","MF,FW","Leganés","esLa Liga","28","1988","11.8","456","4","61","193","212","39","455","17","7","41.2","10","58.8","295","1322","612","17","15","6","36","19","293","72",
"Trent Alexander-Arnold","engENG","DF","Liverpool","engPremier League","18","1998","17.5","1487","39","374","718","409","28","1487","33","20","60.6","13","39.4","743","3232","1791","39","38","9","18","13","910","126",
"Alexis","esESP","DF","Alavés","esLa Liga","31","1985","24.3","984","124","505","391","98","31","984","8","6","75.0","2","25.0","360","1484","711","5","3","2","8","3","389","11",
"Alisson","brBRA","GK","Roma","itSerie A","24","1992","37.0","1405","1143","1395","11","0","0","1405","6","6","100.0","0","0.0","677","3374","2393","0","1","0","3","0","646","0",
"Allan","brBRA","MF","Napoli","itSerie A","26","1991","31.7","2220","30","199","1385","667","41","2220","120","79","65.8","41","34.2","1468","7312","3815","83","98","18","49","72","1661","135",
"Joe Allen","wlsWAL","MF","Stoke City","engPremier League","27","1990","34.9","1781","90","370","996","448","49","1781","55","44","80.0","11","20.0","950","4752","2010","37","44","7","54","68","990","89",
"Dele Alli","engENG","MF,FW","Tottenham","engPremier League","21","1996","32.9","1726","33","179","702","874","147","1726","105","44","41.9","61","58.1","1097","6773","2868","100","78","28","98","89","1334","359",
"Júnior Alonso","pyPAR","DF","Lille","frLigue 1","24","1993","30.9","2219","177","1110","1053","78","23","2219","18","15","83.3","3","16.7","1223","6120","4032","19","14","3","14","11","1416","14",
"José Alonso Lara","esESP","MF","Sevilla","esLa Liga","17","2000","0.1","5","0","0","3","2","0","5","1","1","100.0","0","0.0","5","50","16","0","0","1","0","1","5","2",
"Marcos Alonso","esESP","DF,MF","Chelsea","engPremier League","26","1990","31.7","2084","82","566","784","748","96","2084","33","17","51.5","16","48.5","1072","6123","3378","78","50","10","42","24","1258","261",
"Ricky Álvarez","arARG","MF","Sampdoria","itSerie A","29","1988","3.0","221","3","22","97","103","5","221","10","3","30.0","7","70.0","114","711","309","7","13","1","6","7","161","30",
"Sergio Álvarez","esESP","GK","Celta Vigo","esLa Liga","30","1986","16.4","671","599","666","5","0","0","671","1","1","100.0","0","0.0","333","1627","1052","0","0","0","0","0","319","1",
"Yeray Álvarez","esESP","DF","Athletic Club","esLa Liga","22","1995","7.5","522","18","195","321","16","2","522","5","4","80.0","1","20.0","305","1928","1191","10","9","1","4","2","318","1",
"Dani Alves","brBRA","DF","Paris S-G","frLigue 1","34","1983","22.9","2299","51","502","1234","583","47","2299","42","28","66.7","14","33.3","1414","5650","3505","76","62","8","20","30","1688","144",
"Ibrahim Amadou","frFRA","MF,DF","Lille","frLigue 1","24","1993","26.7","1803","105","648","1091","81","16","1803","13","11","84.6","2","15.4","1034","5131","2883","18","13","1","18","11","1305","19",
"Eloi Amagat","esESP","MF","Girona","esLa Liga","32","1985","0.2","11","0","0","6","5","2","11","0","0","","0","","10","48","24","0","0","0","0","0","11","0",
"Morgan Amalfitano","frFRA","MF,FW","Rennes","frLigue 1","32","1985","8.3","338","8","42","195","103","19","338","12","9","75.0","3","25.0","185","1069","401","16","8","1","10","17","244","34",
"Romain Amalfitano","frFRA","MF","Dijon","frLigue 1","27","1989","30.0","1742","61","409","1178","180","6","1742","71","47","66.2","24","33.8","1140","6763","3002","50","35","3","56","48","1183","46",
"Daniel Amartey","ghGHA","DF","Leicester City","engPremier League","22","1994","5.4","362","24","129","189","46","0","362","5","4","80.0","1","20.0","157","858","432","5","6","0","3","4","192","4",
"Jordi Amat","idIDN","DF,MF","Betis","esLa Liga","25","1992","22.7","1791","89","701","1035","72","12","1791","22","18","81.8","4","18.2","1288","6324","3346","13","13","0","8","2","1323","5",
"Amath","snSEN","MF,FW","Getafe","esLa Liga","21","1996","31.8","1017","19","186","427","436","78","1017","98","43","43.9","55","56.1","629","4501","2023","66","58","31","91","67","599","158",
"Jordan Amavi","frFRA","DF","Marseille","frLigue 1","23","1994","24.4","1681","87","475","882","355","9","1681","71","44","62.0","27","38.0","1023","5151","3032","70","58","4","31","26","955","83",
"Stephan Ambrosius","ghGHA","DF","Hamburger SV","deBundesliga","18","1998","0.5","41","6","23","18","0","0","41","0","0","","0","","26","80","67","1","0","0","0","0","27","0",
"Kelvin Amian","frFRA","DF","Toulouse","frLigue 1","19","1998","35.0","1634","121","570","739","335","18","1634","34","19","55.9","15","44.1","752","3884","2163","41","31","4","34","20","746","83",
"Nadiem Amiri","deGER","MF","Hoffenheim","deBundesliga","20","1996","19.4","1077","15","127","574","388","55","1077","57","22","38.6","35","61.4","666","3742","1869","51","36","20","31","26","778","116",
"Ethan Ampadu","wlsWAL","DF","Chelsea","engPremier League","16","2000","0.1","22","2","9","13","0","0","22","0","0","","0","","16","62","33","0","0","0","0","0","19","0",
"Nordin Amrabat","maMAR","FW","Watford","engPremier League","30","1987","2.2","98","0","13","36","50","4","98","4","2","50.0","2","50.0","61","284","124","3","5","1","4","7","72","22",
"Nordin Amrabat","maMAR","FW,MF","Leganés","esLa Liga","30","1987","18.0","697","5","52","232","432","51","697","71","40","56.3","31","43.7","563","4031","2004","87","56","31","51","80","584","146",
"Jon Ander Serantes","esESP","GK","Leganés","esLa Liga","27","1989","1.0","36","29","36","0","0","0","36","0","0","","0","","15","128","104","0","0","0","0","0","7","0",
"Joachim Andersen","dkDEN","DF","Sampdoria","itSerie A","21","1996","6.1","492","73","269","216","11","4","492","0","0","","0","","250","1440","980","7","5","0","1","2","331","1",
"Felipe Anderson","brBRA","FW,MF","Lazio","itSerie A","24","1993","12.9","930","6","65","386","513","65","930","114","77","67.5","37","32.5","610","5362","2830","98","80","41","46","47","665","140",
"Florin Andone","roROU","FW","La Coruña","esLa Liga","24","1993","18.2","531","15","40","205","295","100","530","49","17","34.7","32","65.3","320","1986","930","41","21","28","54","39","399","144",
