Name, Nation, Position, Club, League, Age, YearBorn, 90s,Touches, DefPenTouches, Def3rdTouches,Mid3rdTouches,Att3rdTouches, AttPenAreaTouches,LiveBallTouches, TakeOnAtt,TakeOnSucc,TakeOnSucc%,TackledDuringTakeOn,TackledDuringTakeOn%, Carries,CarryDistTot, ProgressiveCarryDist,ProgressiveCarries,CarriesIntoFinal3rd, CarriesIntoPenArea, MisControls, Dispossessed, PassesRecieved,ProgPassesRecieved 
"Brenden Aaronson","usUSA","FW,MF","Leeds United","engPremier League","25-036","2000","8.8","358","7","64","156","144","22","358","31","10","32.3","17","54.8","189","1167","530","18","11","2","24","19","205","42",
"Jones El-Abdellaoui","maMAR","MF,FW","Celta Vigo","esLa Liga","19-319","2006","1.3","77","2","7","21","50","5","77","8","2","25.0","4","50.0","51","466","287","14","6","4","3","1","56","30",
"Himad Abdelli","dzALG","MF","Angers","frLigue 1","26-010","1999","7.9","549","14","143","332","83","7","548","21","9","42.9","12","57.1","305","1810","1135","31","21","0","13","8","387","11",
"Ali Abdi","tnTUN","DF,MF","Nice","frLigue 1","31-342","1993","3.6","134","8","39","55","41","3","134","9","3","33.3","5","55.6","65","341","162","6","1","1","9","0","72","11",
"Salis Abdul Samed","ghGHA","MF","Nice","frLigue 1","25-246","2000","4.6","228","8","56","150","23","3","228","3","1","33.3","2","66.7","144","727","294","3","3","2","4","4","167","4",
"Saud Abdulhamid","saKSA","DF","Lens","frLigue 1","26-132","1999","2.3","157","5","35","56","67","7","157","5","1","20.0","3","60.0","57","237","127","3","0","1","3","1","96","21",
"Laurent Abergel","frFRA","MF","Lorient","frLigue 1","32-299","1993","11.5","810","37","218","485","113","6","810","11","4","36.4","7","63.6","527","2155","1209","13","9","1","7","7","605","12",
"Matthis Abline","frFRA","FW,MF","Nantes","frLigue 1","22-244","2003","10.9","319","5","39","118","178","58","318","55","28","50.9","26","47.3","196","1702","1052","38","24","20","26","18","222","63",
"Abner","brBRA","DF","Lyon","frLigue 1","25-184","2000","6.0","319","19","102","140","79","13","319","6","3","50.0","3","50.0","163","755","478","12","4","2","3","4","209","19",
"Zakaria Aboukhlal","maMAR","FW,MF","Torino","itSerie A","25-282","2000","1.6","53","2","7","26","24","6","53","7","2","28.6","4","57.1","34","263","185","6","4","2","5","3","37","6",
"Abdel Abqar","maMAR","DF","Getafe","esLa Liga","26-262","1999","6.5","289","18","136","140","13","7","289","2","1","50.0","1","50.0","108","497","237","3","1","0","6","1","125","0",
"Francis Abu","ghGHA","MF","Toulouse","frLigue 1","24-214","2001","5.8","297","12","81","180","39","6","297","4","3","75.0","1","25.0","145","439","157","1","2","0","2","4","169","10",
"Giorgi Abuashvili","geGEO","FW,MF","Metz","frLigue 1","22-292","2003","3.1","159","6","32","74","54","5","159","11","3","27.3","8","72.7","89","494","310","10","5","2","3","9","103","16",
"Francesco Acerbi","itITA","DF","Inter","itSerie A","37-290","1988","7.8","604","51","259","315","30","7","604","1","1","100.0","0","0.0","301","1253","666","6","6","0","7","0","435","0",
"Ragnar Ache","deGER","FW","Köln","deBundesliga","27-122","1998","4.6","150","14","21","63","67","23","150","5","0","0.0","4","80.0","52","232","89","2","5","0","16","3","105","11",
"Joshua Acheampong","engENG","DF","Chelsea","engPremier League","19-206","2006","3.9","330","28","133","179","21","4","330","9","8","88.9","0","0.0","241","1151","622","4","5","0","0","3","255","0",
"Akor Adams","ngNGA","FW","Sevilla","esLa Liga","25-302","2000","6.5","171","7","19","69","87","36","171","9","5","55.6","4","44.4","89","452","200","11","3","6","14","8","129","27",
"Che Adams","sctSCO","FW,MF","Torino","itSerie A","29-137","1996","5.4","182","4","15","73","94","22","182","14","7","50.0","7","50.0","106","412","96","3","5","1","13","4","138","33",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","26-286","1999","11.5","732","41","191","432","116","6","732","10","4","40.0","5","50.0","404","1877","915","10","17","0","12","5","430","7",
"Junior Adamu","atAUT","FW","Freiburg","deBundesliga","24-174","2001","4.8","159","11","25","72","64","20","159","13","5","38.5","6","46.2","77","354","87","2","4","1","23","3","110","26",
"Tosin Adarabioyo","engENG","DF","Chelsea","engPremier League","28-064","1997","5.2","530","64","267","254","9","2","530","0","0","","0","","300","1239","772","2","1","0","1","0","378","0",
"Jayden Addai","nlNED","FW","Como","itSerie A","20-093","2005","4.8","172","2","20","62","95","22","172","21","6","28.6","13","61.9","119","916","532","18","10","8","10","14","128","41",
"Karim Adeyemi","deGER","MF,FW","Dortmund","deBundesliga","23-313","2002","5.7","247","1","20","80","151","38","247","30","13","43.3","16","53.3","164","1054","539","19","14","12","24","10","182","56",
"Simon Adingra","ciCIV","FW,MF","Sunderland","engPremier League","23-330","2002","3.3","120","3","15","39","66","3","120","10","4","40.0","5","50.0","86","514","274","8","2","1","6","8","90","35",
"Nathaniel Adjei","ghGHA","DF","Lorient","frLigue 1","23-098","2002","0.0","0","0","0","0","0","0","0","0","0","","0","","0","0","0","0","0","0","0","0","0","0",
"Amine Adli","maMAR","FW,MF","Bournemouth","engPremier League","25-201","2000","2.7","157","3","29","54","77","11","157","8","3","37.5","5","62.5","87","534","321","9","6","0","5","2","88","22",
"Vasilije Adžić","meMNE","MF","Juventus","itSerie A","19-199","2006","1.4","94","4","15","40","42","3","94","6","1","16.7","5","83.3","42","175","80","1","1","1","0","2","52","7",
"Michel Aebischer","chSUI","MF","Pisa","itSerie A","28-325","1997","9.9","558","32","149","353","61","2","558","6","4","66.7","2","33.3","303","1387","705","12","9","1","9","3","350","10",
"David Affengruber","atAUT","DF","Elche","esLa Liga","24-253","2001","11.4","826","92","382","432","19","4","826","2","2","100.0","0","0.0","434","2267","1408","6","2","1","5","1","519","2",
"Oladapo Afolayan","engENG","MF,FW","St. Pauli","deBundesliga","27-288","1998","1.7","111","3","6","36","70","7","111","13","2","15.4","10","76.9","81","532","246","7","3","3","8","7","101","19",
"Emmanuel Agbadou","ciCIV","DF","Wolves","engPremier League","28-163","1997","7.2","539","68","250","253","39","5","539","2","1","50.0","1","50.0","294","1428","657","5","9","0","7","2","353","6",
"Julen Agirrezabala","esESP","GK","Valencia","esLa Liga","24-336","2000","13.0","460","385","458","2","0","0","460","0","0","","0","","241","1238","721","0","0","0","0","0","195","0",
"Lucien Agoume","frFRA","MF","Sevilla","esLa Liga","23-291","2002","8.6","467","22","104","270","94","8","467","5","3","60.0","2","40.0","252","1174","612","13","9","0","6","2","300","12",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","26-061","1999","5.4","318","24","114","135","72","6","318","6","2","33.3","2","33.3","161","799","333","9","6","1","8","3","168","28",
"Marc Aguado","esESP","MF","Elche","esLa Liga","25-278","2000","8.9","542","46","161","331","50","2","542","0","0","","0","","262","874","386","2","3","0","5","3","387","10",
"Pablo Agudín","esESP","MF,FW","Oviedo","esLa Liga","18-019","2007","0.6","24","1","8","5","11","4","24","1","1","100.0","0","0.0","18","113","28","1","0","1","4","3","16","6",
