Name,Value,Fee,From,Direction
"Álvaro Morata","€40.00m","€66.00m","Real Madrid","Left"
"Tiemoué Bakayoko","€16.00m","€40.00m","Monaco","Left"
"Danny Drinkwater","€9.00m","€37.90m","Leicester","Left"
"Antonio Rüdiger","€25.00m","€35.00m","Roma","Left"
"Davide Zappacosta","€8.50m","€25.00m","Torino","Left"
"Emerson","€14.00m","€20.00m","Roma","Left"
"Olivier Giroud","€20.00m","€17.00m","Arsenal","Left"
"Ross Barkley","€25.00m","€16.80m","Everton","Left"
"Ethan Ampadu","-","€2.80m","Exeter City","Left"
"Willy Caballero","€1.50m","free transfer","Man City","Left"
"Fikayo Tomori","€250k","-","Chelsea U23","Left"
"Charly Musonda Jr.","€5.00m","-","Chelsea U23","Left"
"Tammy Abraham","€8.00m","-","Chelsea U23","Left"
"Juan Cuadrado","€25.00m","End of loanJun 30, 2017","Juventus","Left"
"Lewis Baker","€5.50m","End of loanJun 30, 2017","Vitesse","Left"
"Andreas Christensen","€18.00m","End of loanJun 30, 2017","Mönchengladbach","Left"
"Wallace Oliveira","€1.00m","End of loanJun 30, 2017","Grêmio","Left"
"Nathan","€1.25m","End of loanJun 30, 2017","Vitesse","Left"
"Todd Kane","€1.25m","End of loanMay 31, 2018","Oxford United","Left"
"Matej Delac","€900k","End of loanJun 30, 2017","Mouscron","Left"
"Abdul Rahman Baba","€8.00m","End of loanJun 30, 2017","FC Schalke 04","Left"
"Charly Musonda Jr.","€5.00m","End of loanMay 17, 2018","Celtic","Left"
"Bertrand Traoré","€8.00m","End of loanJun 30, 2017","Ajax","Left"
"Danilo Pantic","€400k","End of loanJun 30, 2017","Excelsior","Left"
"Michael Hector","€3.00m","End of loanJun 30, 2017","Frankfurt","Left"
"Mario Pašalić","€8.00m","End of loanJun 30, 2017","AC Milan","Left"
"Kenneth Omeruo","€2.00m","End of loanJun 30, 2017","Alanyaspor","Left"
"Cristian Cuevas","€900k","End of loanJun 30, 2017","Sint-Truiden","Left"
"Tomas Kalas","€5.00m","End of loanMay 31, 2018","Fulham","Left"
"Lucas Piazón","€2.50m","End of loanMay 31, 2018","Fulham","Left"
"Fikayo Tomori","€1.00m","End of loanMay 31, 2018","Hull City","Left"
