Name,Value,Fee,From,Direction
"Moussa Konaté","€4.00m","€3.50m","FC Sion","Left"
"Bongani Zungu","€2.00m","€2.00m","Vit. Guimarães","Left"
"Stiven Mendoza","€1.25m","€1.00m","Corinthians","Left"
"Prince Gouano","€1.25m","€130k","Atalanta","Left"
"Madih Talal","-","free transfer","Angers SCO B","Left"
"Issa Cissokho","€500k","free transfer","Angers SCO","Left"
"Jean-Christophe Bouet","€200k","free transfer","USL Dunkerque","Left"
"Mathieu Bodmer","€1.00m","free transfer","Guingamp","Left"
"Brighton Labeau","-","free transfer","Monaco B","Left"
"Gaël Kakuta","€1.00m","loan transfer","HB CFFC","Left"
"Serge Gakpé","€900k","?","Genoa","Left"
"Lacina Traoré","€2.50m","loan transfer","Monaco","Left"
"Danilo Avelar","€1.50m","loan transfer","Torino","Left"
"Jean-Luc Dompé","€900k","loan transfer","Standard Liège","Left"
"Nathan","€1.25m","loan transfer","Chelsea","Left"
"Sekou Baradji","€250k","-","Without Club","Left"
"Bachibou Koita","€200k","-","Amiens SC B","Left"
"Réda Rabeï","€100k","End of loanDec 31, 2017","AS Lyon-Duchère","Left"
"Aboubakar Kamara","€1.00m","€6.00m","Fulham","Joined"
"Tanguy Ndombélé","€1.00m","Loan fee:€2.00m","Lyon","Joined"
"Hacène Cherifi","-","free transfer","Vlamertinge SK","Joined"
"Alioune Ba","€200k","free transfer","Stade Lavallois","Joined"
"Richard Soumah","€700k","free transfer","M. Petah Tikva","Joined"
"Matthieu Fontaine","€200k","free transfer","Red Star FC","Joined"
"Joachim Eickmayer","€300k","free transfer","Les Herbiers","Joined"
"Jordan Lefort","€700k","loan transfer","Quevilly Rouen","Joined"
"Brighton Labeau","€150k","loan transfer","US Créteil-L","Joined"
"Nathan Dekoke","€200k","loan transfer","US Boulogne","Joined"
"Réda Rabeï","€150k","loan transfer","AS Lyon-Duchère","Joined"
"Yannick Mamilonne","€200k","loan transfer","Quevilly Rouen","Joined"
"Réda Rabeï","€100k","loan transfer","Juventus Buc.","Joined"
