Name,Value,Fee,From,Direction
"Corentin Tolisso","€22.00m","€41.50m","Lyon","Left"
"Kingsley Coman","€20.00m","€21.00m","Juventus","Left"
"Niklas Süle","€25.00m","€20.00m","Hoffenheim","Left"
"Sandro Wagner","€9.00m","€13.00m","Hoffenheim","Left"
"James Rodríguez","€50.00m","Loan fee:€13.00m","Real Madrid","Left"
"Serge Gnabry","€15.00m","€8.00m","Werder Bremen","Left"
"Sebastian Rudy","€8.00m","free transfer","Hoffenheim","Left"
"Christian Früchtl","-","-","FC Bayern U19","Left"
"Tom Starke","€100k","-","Career break","Left"
"Felix Götze","€200k","-","FC Bayern U19","Left"
"Marco Friedl","-","-","FC Bayern U19","Left"
"Holger Badstuber","€2.50m","End of loanJun 30, 2017","FC Schalke 04","Left"
"Medhi Benatia","€15.00m","End of loanJun 30, 2017","Juventus","Left"
"Gianluca Gaudino","€1.25m","End of loanJun 30, 2017","FC St. Gallen","Left"
"Medhi Benatia","€15.00m","€16.70m","Juventus","Joined"
"Renato Sanches","€22.00m","Loan fee:€8.50m","Swansea","Joined"
"Douglas Costa","€30.00m","Loan fee:€6.00m","Juventus","Joined"
"Serge Gnabry","€15.00m","Loan fee:€1.00m","Hoffenheim","Joined"
"Gianluca Gaudino","€1.25m","€50k","Chievo Verona","Joined"
"Holger Badstuber","€2.50m","free transfer","Stuttgart","Joined"
"Marco Friedl","€750k","loan transfer","Werder Bremen","Joined"
"Tom Starke","-","-","Career break","Joined"
"Xabi Alonso","€3.50m","-","Retired","Joined"
"Philipp Lahm","€11.00m","-","Retired","Joined"
"Kingsley Coman","€20.00m","End of loanJun 30, 2017","Juventus","Joined"
"Kevin Kampl","€15.00m","€20.00m","Leverkusen","Left"
"Jean-Kévin Augustin","€3.00m","€16.00m","PSG","Left"
"Bruma","€11.00m","€15.00m","Galatasaray","Left"
"Konrad Laimer","€8.00m","€7.00m","Salzburg","Left"
"Yvon Mvogo","€3.00m","€5.00m","Young Boys","Left"
"Ademola Lookman","€7.00m","Loan fee:€500k","Everton","Left"
"Philipp Köhn","-","free transfer","Stuttgart U19","Left"
"Ibrahima Konaté","€300k","free transfer","FC Sochaux","Left"
"Felix Beiersdorf","€100k","-","RB Leipzig II","Left"
"Agyemang Diawusie","€150k","-","RB Leipzig U19","Left"
"Federico Palacios","€225k","-","RB Leipzig II","Left"
"Atınç Nukan","€1.50m","End of loanJun 30, 2017","Besiktas","Left"
"Felix Beiersdorf","€100k","End of loanDec 31, 2017","Wiener Neustadt","Left"
"Nils Quaschner","€500k","End of loanJun 30, 2017","VfL Bochum","Left"
"Zsolt Kalmár","€500k","End of loanAug 8, 2017","Bröndby IF","Left"
"Anthony Jung","€800k","End of loanJun 30, 2017","FC Ingolstadt","Left"
"Oliver Burke","€7.00m","€15.20m","West Brom","Joined"
"Davie Selke","€6.00m","€8.00m","Hertha BSC","Joined"
"Marvin Compper","€1.00m","€1.14m","Celtic","Joined"
"Atınç Nukan","€1.50m","Loan fee:€200k","Besiktas","Joined"
