Name,Value,Fee,From,Direction
"Marten de Roon","€10.00m","€16.70m","Middlesbrough","Left"
"Matteo Pessina","€600k","€7.00m","AC Milan","Left"
"Timothy Castagne","€3.00m","€6.50m","Genk","Left"
"Josip Ilicic","€10.00m","€6.40m","Fiorentina","Left"
"Andreas Cornelius","€3.00m","€6.00m","Copenhagen","Left"
"Fabio Eguelfi","€400k","€6.00m","Inter","Left"
"Etrit Berisha","€5.50m","€5.72m","Lazio","Left"
"Federico Mattiello","€1.00m","€5.00m","Juventus","Left"
"José Luis Palomino","€2.50m","€4.70m","Ludogorets","Left"
"Luca Vido","€700k","€1.40m","AC Milan","Left"
"Robin Gosens","€1.00m","€1.17m","Heracles Almelo","Left"
"João Schmidt","€1.00m","free transfer","São Paulo","Left"
"Nicolas Haas","€1.80m","free transfer","FC Luzern","Left"
"Luca Rizzo","€2.20m","loan transfer","Bologna","Left"
"Alessandro Bastoni","€1.50m","loan transfer","Inter","Left"
"Riccardo Orsolini","€3.50m","loan transfer","Juventus","Left"
"Musa Barrow","€500k","-","Atalanta U19","Left"
"Filippo Melegoni","€400k","-","Atalanta U19","Left"
"Alessandro Bastoni","€1.50m","€31.10m","Inter","Joined"
"Andrea Conti","€10.00m","€24.00m","AC Milan","Joined"
"Roberto Gagliardini","€15.00m","€20.50m","Inter","Joined"
"Alberto Paloschi","€4.00m","Loan fee:€2.00m","SPAL","Joined"
"Giuseppe De Luca","€1.40m","Loan fee:€138k","Virtus Entella","Joined"
"Prince Gouano","€1.25m","€130k","Amiens SC","Joined"
"Bryan Cabezas","€1.50m","Loan fee:€120k","Panathinaikos","Joined"
"Fabio Castellano","€150k","€50k","Ascoli","Joined"
"Denis Di Rocco","€50k","free transfer","Pineto","Joined"
"Edoardo Ceria","€50k","free transfer","FC Den Bosch","Joined"
"Nadir Minotti","€325k","free transfer","Valcalepio","Joined"
"Demba Pape","€50k","free transfer","Atl.Aradeo","Joined"
"Matteo Contini","€50k","free transfer","Carrarese","Joined"
"Leonardo Gatto","€900k","free transfer","Salernitana","Joined"
"Cristiano Del Grosso","€100k","free transfer","Venezia","Joined"
"Boukary Dramé","€900k","free transfer","SPAL","Joined"
"Doudou Mangni","€100k","loan transfer","Monopoli","Joined"
"Gaetano Monachello","€500k","loan transfer","Ascoli","Joined"
"Giacomo Parigi","€100k","loan transfer","Akragas","Joined"
"Fabio Eguelfi","€400k","loan transfer","Cesena","Joined"
"Luca Milesi","€225k","loan transfer","Vicenza","Joined"
"Alberto Dossena","€400k","loan transfer","Robur Siena","Joined"
"Michele Messina","€75k","loan transfer","Pro Piacenza","Joined"
"Tiziano Tulissi","€300k","loan transfer","Reggina","Joined"
"Davide Merelli","€125k","loan transfer","Padova","Joined"
"Nicolò Fazzi","€350k","loan transfer","Cesena","Joined"
"Guido Marilungo","€500k","loan transfer","Spezia Calcio","Joined"
"Stefano Cason","€100k","loan transfer","Carrarese","Joined"
"Christian Mora","€175k","loan transfer","Piacenza","Joined"
"Alessandro Eleuteri","€50k","loan transfer","Monopoli","Joined"
"Gaetano Monachello","€650k","loan transfer","US Palermo","Joined"
"Valerio Nava","€100k","loan transfer","Juve Stabia","Joined"
"Stefano Mazzini","€75k","loan transfer","Pordenone","Joined"
"Mario Pugliese","€250k","loan transfer","Pro Vercelli","Joined"
"Giacomo Parigi","€75k","loan transfer","V. Francavilla","Joined"
"Stefano Cason","€100k","loan transfer","Catanzaro","Joined"
"Stefano Mazzini","€75k","loan transfer","Gavorrano","Joined"
"Constantin Nica","€300k","loan transfer","FC Dinamo","Joined"
"Anton Kresic","€150k","loan transfer","Avellino","Joined"
"Giuseppe Ungaro","€75k","?","Renate","Joined"
