Name,Value,Fee,From,Direction
"Theo Hernández","€15.00m","€24.00m","Atlético","Left"
"Dani Ceballos","€10.00m","€16.50m","Real Betis","Left"
"Philipp Lienhart","€800k","-","RM Castilla","Left"
"Achraf Hakimi","€300k","-","RM Castilla","Left"
"Jesús Vallejo","€8.00m","End of loanJun 30, 2017","Frankfurt","Left"
"Marcos Llorente","€15.00m","End of loanJun 30, 2017","Alavés","Left"
"Borja Mayoral","€2.50m","End of loanJun 30, 2017","Wolfsburg","Left"
"Diego Llorente","€7.50m","End of loanJun 30, 2017","Málaga CF","Left"
"Burgui","€1.50m","End of loanJun 30, 2017","Sporting Gijón","Left"
"Álvaro Morata","€40.00m","€66.00m","Chelsea","Joined"
"Danilo","€16.00m","€30.00m","Man City","Joined"
"James Rodríguez","€50.00m","Loan fee:€13.00m","Bayern Munich","Joined"
"Diego Llorente","€7.50m","€11.00m","Real Sociedad","Joined"
"Mariano Díaz","€5.00m","€8.00m","Lyon","Joined"
"Burgui","€1.50m","€3.00m","Alavés","Joined"
"Fábio Coentrão","€5.00m","Loan fee:€1.00m","Sporting","Joined"
"Philipp Lienhart","€800k","Loan fee:€500k","Freiburg","Joined"
"Rubén Yáñez","€300k","free transfer","Getafe","Joined"
"Pepe","€3.00m","free transfer","Besiktas","Joined"
"Ousmane Dembélé","€33.00m","€148.00m","Dortmund","Left"
"Philippe Coutinho","€90.00m","€135.00m","Liverpool","Left"
"Paulinho","€15.00m","€40.00m","GZ Evergrande","Left"
"Nélson Semedo","€20.00m","€35.70m","Benfica","Left"
"Yerry Mina","€9.00m","€12.40m","Palmeiras","Left"
"Gerard Deulofeu","€12.00m","€12.00m","Everton","Left"
"Marlon","€5.00m","€5.00m","Fluminense","Left"
"Sergi Samper","€2.50m","End of loanJan 31, 2018","UD Las Palmas","Left"
"Munir El Haddadi","€9.00m","End of loanJun 30, 2017","Valencia","Left"
"Douglas","€1.50m","End of loanJun 30, 2017","Sporting Gijón","Left"
"Sergi Samper","€3.50m","End of loanJun 30, 2017","Granada CF","Left"
"Cristian Tello","€8.00m","End of loanJun 30, 2017","Fiorentina","Left"
"Thomas Vermaelen","€3.00m","End of loanJun 30, 2017","Roma","Left"
"Neymar","€100.00m","€222.00m","PSG","Joined"
"Javier Mascherano","€6.00m","€5.50m","HB CFFC","Joined"
"Cristian Tello","€8.00m","€4.00m","Real Betis","Joined"
"Gerard Deulofeu","€14.00m","Loan fee:€1.00m","Watford","Joined"
"Jordi Masip","€1.00m","free transfer","Real Valladolid","Joined"
"Jérémy Mathieu","€3.00m","free transfer","Sporting","Joined"
"Arda Turan","€12.00m","loan transfer","Basaksehir","Joined"
"Sergi Samper","€3.50m","loan transfer","UD Las Palmas","Joined"
"Marlon","€5.00m","loan transfer","Nice","Joined"
"Douglas","€1.50m","loan transfer","Benfica","Joined"
"Rafinha","€15.00m","loan transfer","Inter","Joined"
"Munir El Haddadi","€9.00m","loan transfer","Alavés","Joined"
"Diego Costa","€50.00m","€60.00m","Chelsea","Left"
"Vitolo","€25.00m","€35.60m","Sevilla FC","Left"
"Javier Manquillo","€4.00m","End of loanJun 30, 2017","Sunderland","Left"
"Matías Kranevitter","€6.00m","End of loanJun 30, 2017","Sevilla FC","Left"
"Luciano Vietto","€12.00m","End of loanJun 30, 2017","Sevilla FC","Left"
"Theo Hernández","€15.00m","End of loanJun 30, 2017","Alavés","Left"
"Axel Werner","€1.00m","End of loanJun 30, 2017","Boca Juniors","Left"
"Rafael Borré","€2.00m","End of loanJun 30, 2017","Villarreal","Left"
