Name,Value,Fee,From,Direction
"Moussa Konaté","€4.00m","€3.50m","Amiens SC","Left","FC Sion"
"Bongani Zungu","€2.00m","€2.00m","Amiens SC","Left","Vit. Guimarães"
"Stiven Mendoza","€1.25m","€1.00m","Amiens SC","Left","Corinthians"
"Prince Gouano","€1.25m","€130k","Amiens SC","Left","Atalanta"
"Madih Talal","-","free transfer","Amiens SC","Left","Angers SCO B"
"Issa Cissokho","€500k","free transfer","Amiens SC","Left","Angers SCO"
"Jean-Christophe Bouet","€200k","free transfer","Amiens SC","Left","USL Dunkerque"
"Mathieu Bodmer","€1.00m","free transfer","Amiens SC","Left","Guingamp"
"Brighton Labeau","-","free transfer","Amiens SC","Left","Monaco B"
"Gaël Kakuta","€1.00m","loan transfer","Amiens SC","Left","HB CFFC"
"Serge Gakpé","€900k","?","Amiens SC","Left","Genoa"
"Lacina Traoré","€2.50m","loan transfer","Amiens SC","Left","Monaco"
"Danilo Avelar","€1.50m","loan transfer","Amiens SC","Left","Torino"
"Jean-Luc Dompé","€900k","loan transfer","Amiens SC","Left","Standard Liège"
"Nathan","€1.25m","loan transfer","Amiens SC","Left","Chelsea"
"Sekou Baradji","€250k","-","Amiens SC","Left","Without Club"
"Bachibou Koita","€200k","-","Amiens SC","Left","Amiens SC B"
"Réda Rabeï","€100k","End of loanDec 31, 2017","Amiens SC","Left","AS Lyon-Duchère"
"Aboubakar Kamara","€1.00m","€6.00m","Amiens SC","Joined","Fulham"
"Tanguy Ndombélé","€1.00m","Loan fee:€2.00m","Amiens SC","Joined","Lyon"
"Hacène Cherifi","-","free transfer","Amiens SC","Joined","Vlamertinge SK"
"Alioune Ba","€200k","free transfer","Amiens SC","Joined","Stade Lavallois"
"Richard Soumah","€700k","free transfer","Amiens SC","Joined","M. Petah Tikva"
"Matthieu Fontaine","€200k","free transfer","Amiens SC","Joined","Red Star FC"
"Joachim Eickmayer","€300k","free transfer","Amiens SC","Joined","Les Herbiers"
"Jordan Lefort","€700k","loan transfer","Amiens SC","Joined","Quevilly Rouen"
"Brighton Labeau","€150k","loan transfer","Amiens SC","Joined","US Créteil-L"
"Nathan Dekoke","€200k","loan transfer","Amiens SC","Joined","US Boulogne"
"Réda Rabeï","€150k","loan transfer","Amiens SC","Joined","AS Lyon-Duchère"
"Yannick Mamilonne","€200k","loan transfer","Amiens SC","Joined","Quevilly Rouen"
"Réda Rabeï","€100k","loan transfer","Amiens SC","Joined","Juventus Buc."
"Jean Calvé","€250k","-","Amiens SC","Joined","Without Club"
"Nathan","€1.25m","End of loanDec 31, 2017","Amiens SC","Joined","Chelsea"
"Junior Tallo","€1.00m","End of loanJun 30, 2017","Amiens SC","Joined","Lille"
"Enzo Crivelli","€4.00m","€4.00m","Angers SCO","Left","G. Bordeaux"
"Thomas Touré","€1.50m","€3.00m","Angers SCO","Left","G. Bordeaux"
"Lassana Coulibaly","€1.25m","€2.00m","Angers SCO","Left","SC Bastia"
"Baptiste Guillaume","€2.00m","€2.00m","Angers SCO","Left","Lille"
"Angelo Fulgini","€1.25m","€1.40m","Angers SCO","Left","Valenciennes FC"
"Saliou Ciss","€900k","free transfer","Angers SCO","Left","Valenciennes FC"
"Wilfried Kanga","€200k","free transfer","Angers SCO","Left","Paris SG U19"
"Loïc Puyo","€900k","free transfer","Angers SCO","Left","AS Nancy"
"Prince Oniangué","€1.50m","loan transfer","Angers SCO","Left","Wolves"
"Jeff Reine-Adélaïde","€1.00m","loan transfer","Angers SCO","Left","Arsenal U23"
"Ludovic Butelle","€800k","?","Angers SCO","Left","Club Brugge"
"Youcef Belaïli","-","-","Angers SCO","Left","Ban"
"Anthony Mandréa","-","-","Angers SCO","Left","Angers SCO B"
"Yoane Wissa","€300k","End of loanJan 21, 2018","Angers SCO","Left","AC Ajaccio"
"Férébory Doré","€400k","End of loanJan 31, 2018","Angers SCO","Left","Clermont Foot"
"Yoane Wissa","€300k","End of loanJun 30, 2017","Angers SCO","Left","Stade Lavallois"
"Gabriel Mutombo","€150k","End of loanJun 30, 2017","Angers SCO","Left","CA Bastia"
"Goran Karanovic","€700k","End of loanJun 30, 2017","Angers SCO","Left","FC Sochaux"
"Nicolas Pépé","€3.00m","€18.00m","Angers SCO","Joined","Lille"
"Famara Diédhiou","€4.00m","€6.00m","Angers SCO","Joined","Bristol City"
"Yoane Wissa","€300k","€2.00m","Angers SCO","Joined","FC Lorient"
"Issa Cissokho","€500k","free transfer","Angers SCO","Joined","Amiens SC"
"Grégory Bourillon","€500k","free transfer","Angers SCO","Joined","LB Châteauroux"
"Cheikh N'Doye","€3.00m","free transfer","Angers SCO","Joined","Birmingham"
"Denis Petric","€1.00m","free transfer","Angers SCO","Joined","Guingamp"
"Youcef Belaïli","€400k","free transfer","Angers SCO","Joined","Esperance"
"Saliou Ciss","€900k","loan transfer","Angers SCO","Joined","Valenciennes FC"
"Alexandre Letellier","€1.50m","loan transfer","Angers SCO","Joined","Young Boys"
"Enzo Crivelli","€4.00m","loan transfer","Angers SCO","Joined","SM Caen"
"Mathias Serin","€200k","loan transfer","Angers SCO","Joined","USL Dunkerque"
"Yoane Wissa","€300k","loan transfer","Angers SCO","Joined","AC Ajaccio"
"Férébory Doré","€400k","loan transfer","Angers SCO","Joined","Clermont Foot"
"Gabriel Mutombo","€150k","loan transfer","Angers SCO","Joined","US Orléans"
"Pablo Martínez","€800k","?","Angers SCO","Joined","R. Strasbourg"
"Mehdi Tahrat","€700k","loan transfer","Angers SCO","Joined","Valenciennes FC"
"Jamel Saihi","-","-","Angers SCO","Joined","Retired"
"Dickson Nwakaeme","€500k","-","Angers SCO","Joined","Without Club"
"Kévin Bérigaud","€1.50m","End of loanJun 30, 2017","Angers SCO","Joined","Montpellier"
"Jonathan Bamba","€1.00m","End of loanJun 30, 2017","Angers SCO","Joined","Saint-Étienne"
"Nicolas de Préville","€5.50m","€8.00m","FC Girondins Bordeaux","Left","Lille"
"Jonathan Cafu","€10.00m","€7.50m","FC Girondins Bordeaux","Left","Ludogorets"
"Otávio","€4.00m","€5.00m","FC Girondins Bordeaux","Left","Atlético-PR"
"Youssouf Sabaly","€4.50m","€4.00m","FC Girondins Bordeaux","Left","PSG"
"Lukas Lerager","€2.50m","€3.50m","FC Girondins Bordeaux","Left","Zulte Waregem"
"Vukasin Jovanovic","€1.00m","€3.00m","FC Girondins Bordeaux","Left","Zenit S-Pb"
"Paul Baysse","€2.50m","€1.00m","FC Girondins Bordeaux","Left","Málaga CF"
"Alexandre Mendy","€1.25m","€600k","FC Girondins Bordeaux","Left","Guingamp"
"Benoît Costil","€7.50m","free transfer","FC Girondins Bordeaux","Left","Stade Rennais"
"Matheus Pereira","€350k","loan transfer","FC Girondins Bordeaux","Left","Juventus"
"Soualiho Meïté","€7.00m","loan transfer","FC Girondins Bordeaux","Left","Monaco"
"Martin Braithwaite","€7.50m","loan transfer","FC Girondins Bordeaux","Left","Middlesbrough"
"Zaydou Youssouf","-","-","FC Girondins Bordeaux","Left","G. Bordeaux B"
"Jules Koundé","-","-","FC Girondins Bordeaux","Left","G. Bordeaux B"
"Olivier Verdon","-","-","FC Girondins Bordeaux","Left","G. Bordeaux B"
"Aaron Boupendza","-","-","FC Girondins Bordeaux","Left","G. Bordeaux B"
"Gaëtan Poussin","-","-","FC Girondins Bordeaux","Left","G. Bordeaux B"
"Théo Pellenard","€400k","End of loanJun 30, 2016","FC Girondins Bordeaux","Left","Paris FC"
"Cédric Yambéré","€2.00m","End of loanJun 30, 2017","FC Girondins Bordeaux","Left","APOEL Nicosia"
"Pablo","€1.25m","End of loanDec 31, 2017","FC Girondins Bordeaux","Left","Corinthians"
"Isaac Kiese Thelin","€1.50m","End of loanAug 29, 2017","FC Girondins Bordeaux","Left","RSC Anderlecht"
"Frédéric Guilbert","€2.50m","End of loanJun 30, 2017","FC Girondins Bordeaux","Left","SM Caen"
"Kévin Soni","€250k","End of loanJun 30, 2017","FC Girondins Bordeaux","Left","Pau FC"
"Enzo Crivelli","€4.00m","End of loanJun 30, 2017","FC Girondins Bordeaux","Left","SC Bastia"
"Adam Ounas","€4.00m","€12.00m","FC Girondins Bordeaux","Joined","Napoli"
"Enzo Crivelli","€4.00m","€4.00m","FC Girondins Bordeaux","Joined","Angers SCO"
"Thomas Touré","€1.50m","€3.00m","FC Girondins Bordeaux","Joined","Angers SCO"
"Isaac Kiese Thelin","€1.50m","€2.75m","FC Girondins Bordeaux","Joined","RSC Anderlecht"
"Nicolas Pallois","€3.50m","€2.00m","FC Girondins Bordeaux","Joined","FC Nantes"
"Jérémy Ménez","€6.00m","€1.50m","FC Girondins Bordeaux","Joined","Antalyaspor"
"Frédéric Guilbert","€2.50m","€1.50m","FC Girondins Bordeaux","Joined","SM Caen"
"Mauro Arambarri","€1.25m","€1.00m","FC Girondins Bordeaux","Joined","Boston River"
